lambda,CH0 - loss [db/mm],CH0 - insertion loss [dB]

1534.9999999999998,-0.18007,-35.98584

1535.0049999999997,-0.1825,-35.38577

1535.01,-0.0433,-44.81345

1535.0149999999999,-0.03764,-45.00418

1535.0199999999998,-0.03535,-46.02018

1535.0249999999999,-0.0383,-45.33556

1535.0299999999997,-0.04784,-44.40296

1535.0349999999996,-0.03522,-45.08282

1535.04,-0.02888,-45.983

1535.0449999999998,-0.03398,-46.07535

1535.0499999999997,-0.04538,-44.20018

1535.0549999999998,-0.03867,-44.32346

1535.0599999999997,-0.03978,-44.64098

1535.0649999999998,-0.04304,-45.03832

1535.07,-0.04755,-44.03971

1535.0749999999998,-0.04084,-44.26628

1535.08,-0.04534,-44.45916

1535.0849999999998,-0.03352,-44.65585

1535.0899999999997,-0.04578,-44.26935

1535.0949999999998,-0.07226,-42.5163

1535.1,-0.04912,-43.70322

1535.1049999999998,-0.0387,-44.59062

1535.11,-0.04432,-44.41186

1535.1149999999998,-0.04851,-43.95064

1535.1199999999997,-0.04427,-43.59023

1535.1249999999998,-0.03897,-43.9938

1535.1299999999999,-0.04806,-43.4723

1535.1349999999998,-0.03958,-45.50954

1535.1399999999999,-0.04976,-43.28664

1535.1449999999998,-0.04367,-43.98263

1535.1499999999996,-0.04741,-43.50297

1535.155,-0.03767,-44.43887

1535.1599999999999,-0.0471,-43.52196

1535.1649999999997,-0.05663,-43.11724

1535.1699999999998,-0.03668,-45.56766

1535.1749999999997,-0.0673,-41.97677

1535.1799999999998,-0.03757,-45.51431

1535.185,-0.03653,-44.66166

1535.1899999999998,-0.03895,-44.61016

1535.195,-0.18907,-34.75902

1535.1999999999998,-0.05877,-43.08106

1535.2049999999997,-0.03286,-44.76989

1535.2099999999998,-0.04768,-44.16715

1535.215,-0.05408,-43.89022

1535.2199999999998,-0.0424,-43.77476

1535.225,-0.05377,-43.51785

1535.2299999999998,-0.05979,-43.56578

1535.2349999999997,-0.29016,-30.23095

1535.2399999999998,-0.04997,-44.04669

1535.245,-0.04225,-49.21563

1535.2499999999998,-0.05533,-43.5932

1535.2549999999999,-0.06325,-43.35008

1535.2599999999998,-0.05724,-43.51326

1535.2649999999996,-0.03945,-44.62877

1535.2699999999998,-0.04008,-44.82896

1535.2749999999999,-0.18362,-35.41316

1535.28,-0.0405,-46.00214

1535.2849999999999,-0.04793,-43.92018

1535.2899999999997,-0.03871,-44.58958

1535.2949999999998,-0.04424,-44.0372

1535.3,-0.03428,-45.75664

1535.3049999999998,-0.04245,-44.43729

1535.31,-0.04396,-44.69487

1535.3149999999998,-0.18589,-35.33647

1535.3199999999997,-0.18884,-35.27624

1535.3249999999998,-0.05031,-44.73

1535.33,-0.04635,-44.77356

1535.3349999999998,-0.04828,-44.74254

1535.34,-0.03407,-45.86406

1535.3449999999998,-0.18587,-35.80712

1535.3499999999997,-0.18174,-35.45039

1535.3549999999998,-0.06043,-43.76076

1535.36,-0.05338,-44.43668

1535.3649999999998,-0.0418,-44.99798

1535.37,-0.04608,-45.1786

1535.3749999999998,-0.04835,-45.25286

1535.3799999999997,-0.03872,-45.36249

1535.3849999999998,-0.18342,-36.15608

1535.3899999999999,-0.04292,-45.84236

1535.395,-0.04509,-45.30951

1535.3999999999999,-0.0354,-45.82053

1535.4049999999997,-0.03039,-45.70875

1535.4099999999999,-0.04417,-44.63553

1535.4149999999997,-0.1828,-35.77893

1535.4199999999998,-0.18823,-35.55121

1535.425,-0.04452,-44.57081

1535.4299999999998,-0.03392,-45.6912

1535.4349999999997,-0.06817,-43.44318

1535.4399999999998,-0.18522,-35.41942

1535.4449999999997,-0.0528,-44.22689

1535.4499999999998,-0.04754,-44.67417

1535.455,-0.17883,-36.04718

1535.4599999999998,-0.18252,-35.65995

1535.4649999999997,-0.18498,-35.28933

