CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-110.0,-51.944355223032844,-47.20081003811134,-45.97390565873292,-53.33146191876338,-54.60315416495396,-40.107763979556594
-110.0,-51.523641460731454,-47.087093238607764,-45.759473852869746,-53.64675100584613,-52.95945026751073,-40.02778981720326
-59.20673214694504,-52.630910817134776,-47.465756106076725,-45.992159459375216,-51.972053733627575,-52.79569323099359,-39.99946878388134
-54.91999732992808,-50.62171747453455,-47.51354478862933,-45.18792723231799,-55.202660370643244,-53.037521086132955,-40.16489855722486
-54.60315416495396,-55.96797876785091,-47.88921303921474,-45.366342138317776,-53.14535896279483,-54.60315416495396,-40.25673252357417
-53.199522886084964,-52.576566521728466,-47.28136252423597,-45.599975867316516,-57.55754861047342,-53.03225159635558,-40.27316865419028
-56.88337124701472,-55.27151358670007,-46.70720479594168,-45.3040146715131,-54.556702011781624,-52.12671713721842,-40.15757087918479
-54.60315416495396,-52.79569323099359,-47.01179412009954,-45.18792723231799,-52.61100464133932,-52.79569323099359,-40.15757087918479
-54.60315416495396,-52.79569323099359,-47.50360254908638,-45.18792723231799,-50.757375806745046,-55.202540330451185,-40.09046564136216
-55.44085900108324,-52.79569323099359,-47.09528541023241,-45.01693347839826,-52.96638303981277,-57.75433711925383,-39.99946878388134
-56.47711557413626,-52.79569323099359,-46.70720479594168,-44.938737572562516,-54.47808544426999,-52.12538769420354,-39.99946878388134
-54.60315416495396,-52.79569323099359,-46.70720479594168,-44.79940458961643,-52.795693231229876,-51.069698872414165,-39.97900284392536
-54.60315416495396,-55.19021018718223,-47.01147477497865,-44.82842275089078,-52.79569323099359,-51.523641460731454,-39.95368955476081
-55.00940405096502,-59.22334804043257,-47.201036731243505,-45.056934486601094,-52.79569323099359,-52.066730836452834,-40.06759419636124
-57.192236122361564,-53.38122648181272,-46.70720479594168,-44.980098937307275,-54.20668994171821,-51.75876276921316,-39.99515642311505
-54.73187999419896,-51.80290176451915,-46.79566855292995,-44.78460366731443,-54.60315416495396,-51.52379931203272,-39.92390707433412
-57.754337118144065,-52.79569323099359,-46.8929651786238,-44.87200925171467,-53.34980389978854,-53.57336956122455,-40.06321369090023
-51.71507170869975,-52.79569323099359,-46.12353257933462,-44.70316669398673,-53.740098759295535,-51.523641460731454,-40.145440695152104
-54.12322593498271,-52.71283142222262,-47.071850841980705,-44.56687104618857,-57.93614108395313,-51.837469537943605,-40.09179809191429
-64.2004169593161,-51.52364146103986,-46.707204796045374,-43.925932043583636,-57.93614108945732,-53.87651142062123,-40.14058064068361
-55.37003847037015,-54.434085133064386,-46.370818051718615,-44.49206458475618,-55.70401622696144,-50.7169668242053,-40.097630330939104
-53.06477395037963,-52.93746478639089,-46.058480144226024,-44.70316669391343,-55.115139619320914,-52.79569323099359,-39.964585644477026
-56.23727005471014,-54.31141297530543,-46.636443636167854,-44.70316669398673,-53.39734414349596,-52.79569323099359,-40.03156517308861
-57.75433711925383,-53.034039465520976,-46.39755694743344,-44.70316669398673,-53.8108165785913,-52.68129711538688,-40.0228298152132
-57.75433711925383,-50.86304469246144,-46.35788974897922,-44.92452104777985,-51.749986579541954,-50.558296255310125,-40.10734784494899
-55.16525322093776,-52.25165689579296,-45.82574951972799,-44.51401822564557,-51.30853447027802,-51.523641460319396,-40.103189909314054
-54.60315416495396,-56.11107789422471,-45.98487307838282,-44.479718932472935,-54.20945353980352,-49.1010315476054,-40.188931155995526
-54.60315416495396,-52.32030700581733,-47.26077279647343,-44.09632350722585,-56.12024050821704,-57.23151281869704,-40.180642481545576
-56.76504146513223,-52.461162607134725,-46.79723063163807,-44.25064055135235,-54.60315416495396,-49.88604273932518,-40.04085650537135
-55.17727176023834,-51.79669377139024,-46.09850368347169,-44.267207345315086,-54.60315416495396,-52.62186784779723,-39.99946878388134
-56.82259615499507,-53.69809619768827,-46.32443862685068,-43.71912003112974,-52.15236128917546,-51.56797458042523,-40.05851031405789
-55.0863693870681,-53.108425264264255,-46.35788974897922,-44.24188245379112,-51.014594326243966,-52.765635314666,-40.13954257814944
-56.9778045993514,-52.79569323099359,-46.684991441580706,-44.267207345315086,-52.88744369270813,-50.576338218663736,-40.031270425203054
-57.75433711925383,-54.294172262864436,-46.70720479594168,-44.07278764411822,-56.02150191715167,-50.54101899325458,-39.99946878388134
-54.93567737525707,-51.7597142642736,-46.70720479594168,-44.50647015059579,-54.37985444552281,-57.30589097176272,-40.193892208958594
-64.85166628863078,-50.613405856518355,-46.36474487188747,-44.87863613583612,-53.73523993149561,-49.8921001705104,-40.037663387908744
-55.17727176178073,-54.33168344753939,-46.35788974897922,-44.21670097820328,-52.532598168833886,-57.47977356594991,-40.066550817991164
-54.60315416495396,-51.5688928117508,-46.35788974897922,-43.899256495893006,-52.27408033221876,-54.60315416495396,-40.00756601987614
-54.60315416495396,-52.92617494831774,-46.04801009859091,-44.10779326818469,-52.79569323099359,-54.281499427314245,-40.22840308145885
-110.0,-56.688596814443045,-46.27118212366804,-44.267207345315086,-51.77022643586889,-53.1296247696003,-40.00284666428888
-63.027236828699955,-52.18400781674583,-45.86185363704169,-44.267207345315086,-51.523641460731454,-53.96947038212264,-40.09763793679569
-52.03509646403815,-51.128667420832585,-46.45690376951504,-44.57606589312212,-54.24481292533298,-52.27408033377998,-40.2792333162384
-57.75433711925383,-53.93899356836906,-46.70720479594168,-44.372120188825306,-52.915614979987,-53.10205960530796,-40.430058579932194
-56.99204930785301,-54.51233349467741,-46.58525882432656,-44.06069065836951,-56.92989538474632,-53.43157723177248,-40.14281488954766
-55.0264718353185,-52.40060176961818,-46.24292198367171,-44.267207345315086,-53.10188199763097,-50.90783936692422,-40.092765921505105
-57.03180447337428,-53.298097748599176,-46.141609139084665,-44.17425580518865,-56.54248995053125,-52.44771343519719,-40.15757087918479
-55.102540175297975,-51.823972305388025,-46.44712555609192,-44.06453063821958,-64.17288666928899,-53.41943248105211,-40.15757087918479
-110.0,-52.596478305116875,-46.65645023935451,-44.10914282084251,-110.0,-51.97165698805409,-40.021314357674754
-58.375362800976575,-51.52364146141585,-46.36968244838991,-44.28512321339517,-54.9233199425002,-54.935677370866244,-39.88847055052838
-64.83470879029215,-54.08486815603011,-47.00430864138136,-44.468468165540116,-51.907696549211096,-77.67005501746499,-40.02953486088768
-59.92041710880204,-54.60315416495396,-46.513750523135954,-44.66312450640061,-53.45497352096339,-52.28278689950281,-40.19522476805206
-61.14873466818922,-53.3961731254372,-46.57746056737662,-44.547842559541934,-57.1487350361632,-53.49819841282408,-40.26581843711814
-62.370187062603435,-52.12435317788716,-46.89632812350489,-44.60157639555433,-52.95415152815414,-53.437451547524574,-40.290073007434756
-56.680503083354935,-51.94245147605298,-46.65725254668584,-44.79909954649219,-51.73797534818844,-53.55942662769331,-40.16620682033822
-55.68847467947704,-52.471058949106066,-46.03443666685915,-44.938737572562516,-53.41943247653495,-54.60315416495396,-40.312726405768984
-110.0,-51.64563233703197,-46.03443666685915,-44.938737572562516,-53.412465618266594,-55.92653681612616,-40.178497297877826
-58.29121003226332,-52.82217585942894,-46.03443666685915,-44.903668358120854,-52.79569323099359,-61.1513068204124,-40.03347625393121
-57.75433711925383,-54.40748008076214,-46.03443666685915,-44.48764604715524,-52.17105328838518,-52.79569323099359,-40.054465912981385
-55.167981789093815,-53.09628224301849,-46.03443666685915,-45.104812365274256,-52.46756144677809,-52.79569323099359,-39.977544675062326
-56.54269916976175,-51.84128225332961,-46.846645289779175,-44.78895004610061,-53.87633490705471,-51.60767107302132,-39.92249394261509
-55.42277998397134,-51.523641460731454,-47.401946099004434,-44.88683627126932,-53.31880885045152,-56.56985407949114,-39.969119760908214
-56.36747389803483,-52.3120540068455,-46.62248657138501,-45.53303530245432,-53.95134065578979,-51.93143470433475,-39.99946878388134
-57.75433711925383,-52.79569323099359,-46.35788974897922,-45.52219007365659,-53.244610292117756,-54.02776819318515,-40.089977833744406
-110.0,-53.76004933407667,-46.84941070791989,-45.65050260959035,-54.08543283747608,-53.08402097740364,-40.07332863036286
-110.0,-57.929270110486755,-47.34464515631396,-45.36565490871806,-53.07850384820766,-51.802901765834676,-40.03557262573856
-57.75433711925383,-58.301808957706825,-47.043275887685425,-45.67905287123854,-54.131648189579494,-52.35368918678543,-40.10925211110046
-60.137724663317044,-53.1972253607283,-46.53550630150524,-45.550967284252636,-51.60931969855851,-55.190420887900146,-40.129803176058665
-59.480530682524204,-51.87691754429487,-46.502262955502005,-45.59058973639077,-54.60315416057303,-55.67270057951471,-40.02849813409783
-56.30201260702066,-53.230759519583515,-46.70720479594168,-45.88446191948972,-51.56710933900567,-56.04960972399758,-39.92249394261509
-110.0,-54.60315416495396,-46.56121778226684,-45.452179029458605,-54.43083496551688,-55.81107374515908,-39.92249394261509
-110.0,-53.500638081758794,-46.64939169896114,-45.45774293218852,-51.655372465082564,-53.58863145798699,-39.96401921238324
-63.86343549004708,-52.23605300436128,-46.91323766799685,-45.89741922680871,-54.51075902581181,-53.643345924221634,-40.02543325938533
-57.75433711925383,-55.56871616294433,-47.3474683686987,-45.45837564683323,-57.268217631814366,-52.50994164673648,-39.99084833987907
-56.00084288527344,-54.50202346764405,-47.347429380068235,-45.61623620723101,-54.12141757852453,-52.38843710640052,-40.12098690318748
-58.54170462944242,-55.46458870603976,-47.43301759035808,-45.73355725340413,-53.38393716981156,-54.18532614115941,-40.21222869823495
-59.28770329621062,-54.98416816947031,-47.50360254908638,-46.09567105919781,-54.60315416495396,-54.60315416495396,-40.309749183649544
-57.75433711925383,-51.62997085284252,-47.50360254908638,-46.70720479594168,-53.201286673802045,-52.79569323099359,-40.473635972050886
-110.0,-54.60315416495396,-47.50360254908638,-46.34962596190897,-54.44591594866422,-54.00544453260751,-40.25989843279178
-56.22711517991158,-53.710914701843166,-47.256612128489635,-46.25753639598979,-57.377210182541646,-55.79491059316511,-40.32167677506244
-58.40448730411565,-53.72385356714658,-47.36628500104132,-46.1012677382526,-54.60315416495396,-54.60315416495396,-40.24241730506738
-54.60315416495396,-54.60315416495396,-47.849485760359954,-46.03443666685915,-54.10785640189617,-53.17303632130357,-40.11232166802312
-53.37965977384685,-51.2904303016288,-47.57862264598232,-46.03443666685915,-54.33112808376012,-52.79569323099359,-40.077832591075826
-55.61874672350575,-51.28290171756555,-47.50360254908638,-46.344205094548926,-58.03494943795167,-50.69334447226417,-40.077832591075826
-110.0,-53.658953439982355,-47.88858886084549,-46.05281086875655,-53.76598550074897,-52.515161764069305,-40.12612624384482
-110.0,-53.18993423752147,-46.601542200406755,-46.03443666685915,-56.63965612221412,-54.34712553863474,-40.15757087918479
-57.754319810303826,-51.837406979947616,-47.25385420253316,-46.03443666685915,-54.60315416495396,-51.83746954148785,-40.06868971636074
-54.60315416495396,-52.363207653765,-47.17972651177065,-46.03443666685915,-54.114408167020585,-53.9514569775485,-40.08245245932354
-67.83960604542015,-52.79569323099359,-47.087093238607764,-45.78982276224902,-53.089757725551024,-54.60315416495396,-40.15757087918479
-110.0,-52.79569323099359,-47.087093238607764,-45.73355725340413,-54.60315416495396,-53.18200515226542,-40.11830053057775
-60.78905399631407,-52.79569323099359,-47.362993661608115,-45.73355725340413,-54.34712554390997,-52.79569323099359,-40.11517418912642
-60.96479422370571,-52.10089469295673,-46.971926568163894,-46.8670668750142,-52.79569323099359,-52.79569323099359,-40.15757087918479
-110.0,-51.523641460731454,-46.70720479594168,-46.0096737641546,-52.79569323099359,-55.386485025222626,-40.121429123997416
-110.0,-53.55397609661482,-46.93413308241816,-45.63772456861835,-52.79569323099359,-53.93899357602622,-40.077832591075826
-110.0,-53.714273299221944,-46.64348380961185,-45.73355725340413,-53.375745878360135,-52.79569323099359,-40.14939456490958
-57.75433711925383,-51.523641460731454,-46.77453480635255,-45.54206836029738,-60.20205784586834,-53.92670626000401,-40.122505823725376
-57.75433711925383,-52.153757625574556,-47.087093238607764,-45.45217902890472,-51.523641460731454,-51.34002171921637,-40.08109509980514
-57.75433711925383,-52.79569323099359,-47.96407222448529,-45.45217902890472,-51.83305142294924,-52.20835516151428,-40.204084725541016
-57.75433711925383,-50.55977659551398,-48.10820485763749,-45.69047685217565,-52.79569323099359,-52.79569323099359,-40.23886348072568
-62.23992392281673,-51.663727385872434,-46.989000180473,-45.23178591435473,-54.04548686655805,-52.79569323099359,-40.2910717610149
-110.0,-54.04577339560649,-47.31168112934158,-45.18792723231799,-57.75433711925383,-51.61460295430902,-40.32167677506244
-110.0,-53.17376777718762,-46.84582687793602,-45.45217902848404,-57.75433711925383,-52.706136474386,-40.43580084152352
-56.387711949392795,-50.26296952144317,-46.41303611701635,-45.97518480870025,-53.90004266843118,-52.79569323099359,-40.36818551033778
-54.60315416495396,-52.035039373261284,-47.36632166075722,-45.15460184910816,-52.12671713530676,-51.57082889460362,-40.38948052225273
-110.0,-54.366084203919684,-47.09592799929811,-45.04530671657227,-53.763837131933954,-54.41247421119536,-40.406134635881685
-110.0,-57.754337111411445,-47.27654579382954,-45.45217902890472,-54.60315416495396,-52.79569323099359,-40.323495458705594
-52.79569324128761,-50.54101899325458,-46.189522652341594,-45.34685310839481,-52.08600433575923,-53.164474731450696,-40.24981667059363
-57.75433711925383,-50.720557462306886,-46.83850212819229,-44.94932696098837,-54.04319266887414,-54.60315416495396,-40.37592277628551
-58.79563046363364,-52.69843236861776,-46.73152259098967,-44.83771152093111,-49.805718751502724,-53.70620057726677,-40.23886348072568
-63.51068573985626,-53.2820789184036,-46.35788974897922,-44.47498679930763,-49.99111621254946,-53.70620057074572,-40.30500086336437
-56.140463193981944,-52.997687993763634,-46.13960023817002,-44.43158734241936,-57.75433711925383,-53.31880885488802,-40.36370040086453
-57.960425747439515,-54.05424080457789,-46.27298818010206,-44.479718932472935,-56.688783792885275,-52.79569323099359,-40.372154142939145
-54.91210678766859,-52.79569323099359,-46.35788974897922,-45.1380480174405,-55.462178673639855,-51.64792406228004,-40.34720791263891
-55.706062315880914,-54.22187269016608,-47.003436381583796,-44.479718933621186,-60.23445759634785,-50.541018994868466,-40.386220175594545
-57.75433711925383,-54.60315416495396,-47.087093238607764,-44.69875939479054,-62.0375420479123,-51.567100937174274,-40.406134635881685
-64.7322643613669,-51.88421233890358,-46.43604322983552,-44.48390935406205,-55.115139626103954,-52.76681014878592,-40.2195919748356
-56.049609737498045,-52.52038620336647,-46.65160110700229,-44.27534814704151,-53.38470922733501,-51.52364146256285,-40.09957615252076
-56.52241390899273,-54.144726028568485,-45.66701431057231,-44.668032897907054,-53.91367585944421,-57.49018523612075,-40.077832591075826
-110.0,-56.58131766111305,-45.86774246508644,-44.16281802476085,-52.79569323099359,-51.900450783962896,-40.12302125621907
-110.0,-55.67456963845258,-46.42085233707776,-44.348792416546004,-53.11861103809461,-57.916504774233516,-40.15757087918479
-57.75433711925383,-53.73072108082171,-46.39782050030597,-44.13901050891417,-57.59483739639326,-56.838129108793666,-40.15757087918479
-56.967104903069384,-53.244075929397184,-46.31249909953627,-43.94540282322901,-54.96557179393638,-55.7960929133646,-40.194579979298595
-54.83722565788456,-54.91269930122009,-46.982496689650816,-44.06453063821958,-60.08676707595292,-57.75433711925383,-40.40613463549606
-110.0,-57.60270427544539,-46.38032332768179,-44.06453063821958,-57.45618755566666,-56.54910411832927,-40.13522988874922
-61.77772384818499,-51.30861754131037,-46.93112816466322,-44.06453063821958,-55.49735698135218,-52.845248972003134,-40.077832591075826
-110.0,-51.13705851732257,-46.61127281627205,-44.06453063821958,-57.75433711925383,-52.79569323099359,-40.041686673417225
-110.0,-52.698523868895336,-46.683022407748794,-44.29491174403921,-57.67785896341472,-55.19200839389258,-40.02152867807632
-60.50940642646026,-53.96804296266686,-46.85137128430571,-44.569230391416966,-54.952991066439466,-54.832799407755374,-40.0682995182831
-110.0,-52.359665070875934,-46.46519487209618,-44.46824777941269,-56.573570613541506,-53.76223805924731,-40.00080797399331
-58.271204693259534,-50.586751132186464,-47.087093238607764,-43.89762088998374,-55.69557117810831,-56.51296348084341,-40.20084005826413
-66.41196796188947,-53.85924131421264,-47.087093238607764,-44.06453063821958,-53.73072108108951,-52.79569323099359,-40.06827959880462
-56.31571218984793,-56.696937127178245,-46.00722870940578,-44.06453063821958,-52.79569323099359,-52.79569323099359,-40.1389386929804
-56.153381363675535,-54.03088327815932,-45.54227478810765,-44.06453063821958,-53.829971150690824,-52.79569323099359,-40.28085404452253
-110.0,-53.72535571537435,-46.18076028188527,-44.06453063821958,-63.776811996995065,-52.79569323099359,-40.247974234576915
-62.75479849471304,-53.58928806764541,-46.498339602681995,-44.20776587549855,-54.123258461648476,-52.79569323099359,-40.15757087918479
-53.7808647083842,-52.79569323099359,-45.9987048197913,-44.55577218489711,-50.60920429717332,-52.043651984384894,-40.20740775670386
-53.372594838474924,-52.21151953679714,-45.89024674072796,-44.557276820840286,-57.41204957292523,-52.7959773957962,-40.36972727758374
-56.479719975905795,-52.50994163787331,-46.03443666685915,-44.624334867686386,-51.523641467594445,-54.60315416495396,-40.46622323775537
-110.0,-53.076366472794916,-46.03443666685915,-44.70316669398673,-54.60315415584162,-54.60315416495396,-40.43231022047242
-110.0,-52.01337448074588,-46.20967913172781,-44.70316669398673,-52.82597230734993,-55.92992112222802,-40.5207194358818
-57.75433711925383,-52.20442677711404,-46.75948211395381,-44.23762006871,-54.60315416495396,-54.41986460548708,-40.45353930046562
-66.34992483653241,-52.732173283249196,-47.087093238607764,-44.534489897766235,-54.8483273965153,-53.80419223052054,-40.27317731856751
-110.0,-56.062672343659,-47.360281624854224,-44.88859545916017,-57.03023117595451,-56.534088407169335,-40.361005857907635
-57.75433711925383,-54.10755338923917,-46.645767877276555,-45.14989548429111,-53.645139376960515,-57.75433711925383,-40.316359285982685
-62.29922181750517,-58.17616883082886,-46.35788974897922,-44.95939731152404,-52.82960304226076,-51.90774652567457,-40.62060292780281
-110.0,-52.41032871883179,-46.35788974897922,-44.938737572562516,-56.00084288883279,-54.60315415440728,-40.511607709621785
-58.541704656079276,-52.69826452859682,-46.03443666760721,-44.55133654093402,-52.53518027394607,-60.63171606729726,-40.26079755594469
-110.0,-51.67324239845155,-46.67499144451803,-45.13693232302529,-52.38843710475412,-51.828120402508375,-40.49223219807844
-110.0,-53.87150972491183,-46.55952962980403,-45.08867752901165,-56.48578301906194,-54.05424078832627,-40.26692205749193
-110.0,-52.212767445567025,-47.26334582526512,-45.344541301967794,-110.0,-53.7879464468494,-40.44896130382874
-58.41948369643103,-55.60704890459921,-46.84684151688596,-45.31804359941633,-54.46526221019067,-52.19642279262361,-40.38131875313401
-54.07576277441645,-57.75433711925383,-47.087093238607764,-45.60820540407272,-52.79569323099359,-52.79569323099359,-40.588624864681535
-57.75433711925383,-54.646875729606066,-46.914954709634685,-45.42085495235669,-52.79569323099359,-52.79569323099359,-40.67149072331273
-64.30950718909796,-52.79569323099359,-46.70720479594168,-45.462670795422554,-52.68346886784589,-54.96193494760155,-40.46722070751333
-110.0,-51.67770232387009,-46.70720479594168,-45.59600233689805,-50.5410189970506,-57.75433711925383,-40.426331465461715
-56.56232309265249,-51.28527701931566,-46.70720479594168,-45.45217902890472,-56.331525425393366,-57.75433711925383,-40.50424281321314
-56.27965893503935,-52.00572806761653,-46.70720479594168,-45.54236198792982,-57.75433711925383,-54.413839812056594,-40.58007120113317
-110.0,-50.971053988358946,-46.75857003662412,-45.677817733755404,-57.75433711925383,-52.04852410839747,-40.50424281355971
-110.0,-54.56467564350099,-47.457839547142044,-45.471009913430805,-54.60271078172104,-54.41408273893248,-40.6853964381525
-55.5490208676012,-52.97790415930646,-47.87295988907634,-45.71355555404813,-54.04972340365259,-52.87284947039767,-40.761303337436
-60.11080640937885,-52.79569323099359,-47.335127048086534,-45.501106592557875,-55.20266038735919,-51.721536942166765,-40.66974198074084
-110.0,-55.295415986794595,-47.86796379451472,-45.65499213870693,-51.68409656426344,-53.52600287993093,-40.544722123803176
-110.0,-52.58979102086313,-47.946181234072455,-46.12034661235822,-52.79569323099359,-52.44128232049337,-40.46591454355257
-110.0,-50.54101899325458,-47.31692257910848,-46.35788974897922,-52.79569323099359,-51.523641460731454,-40.38847006479513
-56.54269918057879,-51.18362889531609,-47.237634100045256,-46.52574377002398,-62.234136342698875,-52.03064262998255,-40.30832007186626
-55.228724882049136,-53.26356917864459,-47.6706330982239,-46.222935859206984,-53.46561820181215,-53.43144179608704,-40.26573679401403
-61.159156578172684,-53.43163918752835,-47.57697107403676,-45.87538084218923,-52.79569323099359,-53.07636647415788,-40.406134635881685
-110.0,-52.24158633567197,-47.087093238607764,-46.03443666685915,-61.93583867094304,-52.01337448024509,-40.390173170425534
-54.60315416495396,-54.60315416495396,-47.294786464667396,-45.875130564960045,-55.09703086885479,-52.79569323099359,-40.36185659276666
-55.34503889694628,-54.60315416495396,-47.50360254908638,-45.911572400124044,-57.754337106401024,-54.65279844720486,-40.463968932960114
-60.09845657213003,-54.60315416495396,-47.81873518819053,-45.822942773610265,-53.87158201405627,-52.99758188309255,-40.37027411130979
-110.0,-51.285467149402336,-46.9311593449157,-45.73355725340413,-50.52201925019733,-52.41844392988267,-40.40982612045937
-110.0,-50.84451045232986,-47.04415419032392,-46.59016319847686,-57.75433711925383,-56.64585115020205,-40.54792381293184
-110.0,-51.523641460731454,-47.087093238607764,-46.03443666861885,-57.75433711925383,-52.795693239530664,-40.51354045943298
-59.55338522354461,-52.66337090748928,-47.964138138514386,-45.99995758601344,-55.799484053534655,-52.79569323099359,-40.49223219871883
-57.75433711925383,-49.79153901085412,-47.87861419973302,-45.80169208392593,-54.60315416495396,-53.22923950149618,-40.32964836296905
-63.97740937959826,-52.254151964500466,-47.37036345350171,-46.15944965278307,-53.01221867385527,-54.60315416495396,-40.631102987485825
-55.422779973243124,-51.80148147640567,-47.087093238607764,-46.17012070725916,-54.294229598466856,-53.398961791053935,-40.38789116167991
-55.82768429803244,-53.398961791053935,-47.35372927370656,-46.03443666685915,-51.230526302023634,-56.27400882748711,-40.287966651559366
-110.0,-54.279285469600026,-48.30074569124076,-45.47820511818969,-52.20931018749124,-57.75433711925383,-40.39123544451982
-110.0,-52.509731912238635,-47.89360104536436,-45.56255244860003,-53.14179047816735,-55.86232448932958,-40.57120692203522
-53.10194475502949,-50.86025631785472,-46.97242573790531,-45.89645591656085,-50.60430035638694,-54.94365736190866,-40.38239930488385
-53.75357369505076,-55.157823031032834,-47.27586651568309,-45.73355725340413,-54.185326149576625,-52.3085075289374,-40.392873782985134
-56.43333621012377,-53.36635454132869,-47.409529646381614,-45.51315097454443,-53.2350250068929,-54.097692252535154,-40.58394974510722
-110.0,-52.42630601443089,-47.37255825275959,-45.69580526635265,-54.60315416495396,-57.10149592831522,-40.61373646786221
-56.610737836699144,-51.74010073439304,-46.855227588825144,-45.73355725340413,-55.721483823380964,-52.99291598442127,-40.40437183652229
-54.60315416495396,-52.53749264319376,-47.34904858618806,-45.73355725340413,-57.75433711925383,-57.23148308489242,-40.37466211890266
-53.16706737611665,-50.9586936814308,-47.50360254908638,-45.73355725340413,-56.371139741129014,-51.91533055754377,-40.45465929001431
-58.21400331145294,-54.20659998244038,-46.9283382547321,-45.73355725340413,-54.0212527984437,-55.73416781434301,-40.36131146534729
-110.0,-54.01071204561619,-46.70720479594168,-45.73355725340413,-54.14707703710444,-51.50300476162515,-40.34564534834586
-60.559924805267855,-52.79569323099359,-46.51037310713774,-45.73355725340413,-110.0,-52.769765626863034,-40.57256892915739
-56.158235618474976,-52.21067741759603,-46.65206934510964,-45.5691890058859,-110.0,-54.60315416495396,-40.761303337436
-55.92466414220135,-51.523641460731454,-46.980745397878934,-45.689439022834804,-110.0,-58.080088539112495,-40.761303337436
-110.0,-51.656480140529396,-46.70720479594168,-45.9507606986558,-56.915054065109146,-110.0,-40.604623612982365
-110.0,-52.74588011804897,-46.70720479594168,-45.69861450330609,-54.60315416495396,-57.30728414388574,-40.4555415814891
-57.237497589713996,-52.79569323099359,-46.41028601097368,-45.45687910167685,-53.9913092628029,-53.107262292239696,-40.455772341088185
