0,1,2,3,4,5,6
1534.9999999999998,1534.9999999999998,1534.9999999999998,1534.9999999999998,1534.9999999999998,1534.9999999999998,1534.9999999999998
1535.0049999999997,1535.0049999999997,1535.0049999999997,1535.0049999999997,1535.0049999999997,1535.0049999999997,1535.0049999999997
1535.01,1535.01,1535.01,1535.01,1535.01,1535.01,1535.01
1535.0149999999999,1535.0149999999999,1535.0149999999999,1535.0149999999999,1535.0149999999999,1535.0149999999999,1535.0149999999999
1535.0199999999998,1535.0199999999998,1535.0199999999998,1535.0199999999998,1535.0199999999998,1535.0199999999998,1535.0199999999998
1535.0249999999999,1535.0249999999999,1535.0249999999999,1535.0249999999999,1535.0249999999999,1535.0249999999999,1535.0249999999999
1535.0299999999997,1535.0299999999997,1535.0299999999997,1535.0299999999997,1535.0299999999997,1535.0299999999997,1535.0299999999997
1535.0349999999996,1535.0349999999996,1535.0349999999996,1535.0349999999996,1535.0349999999996,1535.0349999999996,1535.0349999999996
1535.04,1535.04,1535.04,1535.04,1535.04,1535.04,1535.04
1535.0449999999998,1535.0449999999998,1535.0449999999998,1535.0449999999998,1535.0449999999998,1535.0449999999998,1535.0449999999998
1535.0499999999997,1535.0499999999997,1535.0499999999997,1535.0499999999997,1535.0499999999997,1535.0499999999997,1535.0499999999997
1535.0549999999998,1535.0549999999998,1535.0549999999998,1535.0549999999998,1535.0549999999998,1535.0549999999998,1535.0549999999998
1535.0599999999997,1535.0599999999997,1535.0599999999997,1535.0599999999997,1535.0599999999997,1535.0599999999997,1535.0599999999997
1535.0649999999998,1535.0649999999998,1535.0649999999998,1535.0649999999998,1535.0649999999998,1535.0649999999998,1535.0649999999998
1535.07,1535.07,1535.07,1535.07,1535.07,1535.07,1535.07
1535.0749999999998,1535.0749999999998,1535.0749999999998,1535.0749999999998,1535.0749999999998,1535.0749999999998,1535.0749999999998
1535.08,1535.08,1535.08,1535.08,1535.08,1535.08,1535.08
1535.0849999999998,1535.0849999999998,1535.0849999999998,1535.0849999999998,1535.0849999999998,1535.0849999999998,1535.0849999999998
1535.0899999999997,1535.0899999999997,1535.0899999999997,1535.0899999999997,1535.0899999999997,1535.0899999999997,1535.0899999999997
1535.0949999999998,1535.0949999999998,1535.0949999999998,1535.0949999999998,1535.0949999999998,1535.0949999999998,1535.0949999999998
1535.1,1535.1,1535.1,1535.1,1535.1,1535.1,1535.1
1535.1049999999998,1535.1049999999998,1535.1049999999998,1535.1049999999998,1535.1049999999998,1535.1049999999998,1535.1049999999998
1535.11,1535.11,1535.11,1535.11,1535.11,1535.11,1535.11
1535.1149999999998,1535.1149999999998,1535.1149999999998,1535.1149999999998,1535.1149999999998,1535.1149999999998,1535.1149999999998
1535.1199999999997,1535.1199999999997,1535.1199999999997,1535.1199999999997,1535.1199999999997,1535.1199999999997,1535.1199999999997
1535.1249999999998,1535.1249999999998,1535.1249999999998,1535.1249999999998,1535.1249999999998,1535.1249999999998,1535.1249999999998
1535.1299999999999,1535.1299999999999,1535.1299999999999,1535.1299999999999,1535.1299999999999,1535.1299999999999,1535.1299999999999
1535.1349999999998,1535.1349999999998,1535.1349999999998,1535.1349999999998,1535.1349999999998,1535.1349999999998,1535.1349999999998
1535.1399999999999,1535.1399999999999,1535.1399999999999,1535.1399999999999,1535.1399999999999,1535.1399999999999,1535.1399999999999
1535.1449999999998,1535.1449999999998,1535.1449999999998,1535.1449999999998,1535.1449999999998,1535.1449999999998,1535.1449999999998
1535.1499999999996,1535.1499999999996,1535.1499999999996,1535.1499999999996,1535.1499999999996,1535.1499999999996,1535.1499999999996
1535.155,1535.155,1535.155,1535.155,1535.155,1535.155,1535.155
1535.1599999999999,1535.1599999999999,1535.1599999999999,1535.1599999999999,1535.1599999999999,1535.1599999999999,1535.1599999999999
1535.1649999999997,1535.1649999999997,1535.1649999999997,1535.1649999999997,1535.1649999999997,1535.1649999999997,1535.1649999999997
1535.1699999999998,1535.1699999999998,1535.1699999999998,1535.1699999999998,1535.1699999999998,1535.1699999999998,1535.1699999999998
1535.1749999999997,1535.1749999999997,1535.1749999999997,1535.1749999999997,1535.1749999999997,1535.1749999999997,1535.1749999999997
1535.1799999999998,1535.1799999999998,1535.1799999999998,1535.1799999999998,1535.1799999999998,1535.1799999999998,1535.1799999999998
1535.185,1535.185,1535.185,1535.185,1535.185,1535.185,1535.185
1535.1899999999998,1535.1899999999998,1535.1899999999998,1535.1899999999998,1535.1899999999998,1535.1899999999998,1535.1899999999998
1535.195,1535.195,1535.195,1535.195,1535.195,1535.195,1535.195
1535.1999999999998,1535.1999999999998,1535.1999999999998,1535.1999999999998,1535.1999999999998,1535.1999999999998,1535.1999999999998
1535.2049999999997,1535.2049999999997,1535.2049999999997,1535.2049999999997,1535.2049999999997,1535.2049999999997,1535.2049999999997
1535.2099999999998,1535.2099999999998,1535.2099999999998,1535.2099999999998,1535.2099999999998,1535.2099999999998,1535.2099999999998
1535.215,1535.215,1535.215,1535.215,1535.215,1535.215,1535.215
1535.2199999999998,1535.2199999999998,1535.2199999999998,1535.2199999999998,1535.2199999999998,1535.2199999999998,1535.2199999999998
1535.225,1535.225,1535.225,1535.225,1535.225,1535.225,1535.225
1535.2299999999998,1535.2299999999998,1535.2299999999998,1535.2299999999998,1535.2299999999998,1535.2299999999998,1535.2299999999998
1535.2349999999997,1535.2349999999997,1535.2349999999997,1535.2349999999997,1535.2349999999997,1535.2349999999997,1535.2349999999997
1535.2399999999998,1535.2399999999998,1535.2399999999998,1535.2399999999998,1535.2399999999998,1535.2399999999998,1535.2399999999998
1535.245,1535.245,1535.245,1535.245,1535.245,1535.245,1535.245
1535.2499999999998,1535.2499999999998,1535.2499999999998,1535.2499999999998,1535.2499999999998,1535.2499999999998,1535.2499999999998
1535.2549999999999,1535.2549999999999,1535.2549999999999,1535.2549999999999,1535.2549999999999,1535.2549999999999,1535.2549999999999
1535.2599999999998,1535.2599999999998,1535.2599999999998,1535.2599999999998,1535.2599999999998,1535.2599999999998,1535.2599999999998
1535.2649999999996,1535.2649999999996,1535.2649999999996,1535.2649999999996,1535.2649999999996,1535.2649999999996,1535.2649999999996
1535.2699999999998,1535.2699999999998,1535.2699999999998,1535.2699999999998,1535.2699999999998,1535.2699999999998,1535.2699999999998
1535.2749999999999,1535.2749999999999,1535.2749999999999,1535.2749999999999,1535.2749999999999,1535.2749999999999,1535.2749999999999
1535.28,1535.28,1535.28,1535.28,1535.28,1535.28,1535.28
1535.2849999999999,1535.2849999999999,1535.2849999999999,1535.2849999999999,1535.2849999999999,1535.2849999999999,1535.2849999999999
1535.2899999999997,1535.2899999999997,1535.2899999999997,1535.2899999999997,1535.2899999999997,1535.2899999999997,1535.2899999999997
1535.2949999999998,1535.2949999999998,1535.2949999999998,1535.2949999999998,1535.2949999999998,1535.2949999999998,1535.2949999999998
1535.3,1535.3,1535.3,1535.3,1535.3,1535.3,1535.3
1535.3049999999998,1535.3049999999998,1535.3049999999998,1535.3049999999998,1535.3049999999998,1535.3049999999998,1535.3049999999998
1535.31,1535.31,1535.31,1535.31,1535.31,1535.31,1535.31
1535.3149999999998,1535.3149999999998,1535.3149999999998,1535.3149999999998,1535.3149999999998,1535.3149999999998,1535.3149999999998
1535.3199999999997,1535.3199999999997,1535.3199999999997,1535.3199999999997,1535.3199999999997,1535.3199999999997,1535.3199999999997
1535.3249999999998,1535.3249999999998,1535.3249999999998,1535.3249999999998,1535.3249999999998,1535.3249999999998,1535.3249999999998
1535.33,1535.33,1535.33,1535.33,1535.33,1535.33,1535.33
1535.3349999999998,1535.3349999999998,1535.3349999999998,1535.3349999999998,1535.3349999999998,1535.3349999999998,1535.3349999999998
