lambda,CH0 - loss [db/mm],CH0 - insertion loss [dB]
1535.9049999999997,-0.01223,-34.16684

1535.9099999999996,0.00079,-36.60446

1535.915,0.08984,-54.10571

1535.9199999999998,0.00641,-37.26662

1535.9249999999997,-0.00668,-34.42335

1535.9299999999998,-0.01013,-33.78954

1535.9349999999997,-0.00729,-34.46093

1535.9399999999998,-0.00727,-34.66966

1535.945,0.00039,-36.13893

1535.9499999999998,0.08821,-53.95393

1535.955,-0.00891,-34.59604

1535.9599999999998,0.0872,-54.01958

1535.9649999999997,-0.00178,-35.95373

1535.9699999999998,-0.00707,-34.58394

1535.975,-0.00108,-35.75512

1535.9799999999998,0.09065,-54.23525

1535.985,0.00998,-37.88246

1535.9899999999998,0.00233,-36.15905

1535.9949999999997,0.0878,-54.40599

1536.0,-0.00801,-35.74812

1536.0049999999999,0.03056,-41.94444

1536.0099999999998,-0.00611,-34.47225

1536.0149999999999,0.0067,-37.33021

1536.0199999999998,0.00018,-35.8272

1536.0249999999996,0.01571,-39.00742

1536.03,-0.00072,-35.91232

1536.0349999999999,-0.00874,-33.97999

1536.0399999999997,-0.00371,-35.26726

1536.0449999999998,-0.00404,-35.63186

1536.0499999999997,-0.00336,-35.52333

1536.0549999999996,0.09014,-54.1351

1536.06,0.08977,-54.10304

1536.0649999999998,-0.00749,-34.69803

1536.07,-0.00945,-33.84814

1536.0749999999998,-0.00894,-34.38877

1536.0799999999997,-0.00987,-34.40214

1536.0849999999998,-0.00853,-34.30206

1536.09,-0.00359,-35.30413

1536.0949999999998,0.08893,-54.01769

1536.1,-0.00893,-34.0339

1536.1049999999998,-0.01032,-33.89449

1536.1099999999997,-0.00418,-35.06949

1536.1149999999998,-0.00855,-34.26549

1536.12,-0.00953,-34.3942

1536.1249999999998,-0.00533,-35.25651

1536.1299999999999,-0.01119,-34.36356

1536.1349999999998,-0.00685,-35.28966

1536.1399999999996,-0.00884,-34.62138

1536.145,-0.01272,-33.5975

1536.1499999999999,-0.00866,-34.3682

1536.1549999999997,0.08917,-54.11575

1536.1599999999999,-0.00398,-35.4685

1536.1649999999997,-0.00796,-35.01059

1536.1699999999996,-0.01597,-33.9982

1536.175,-0.0062,-35.41936

1536.1799999999998,-0.01029,-34.26802

1536.185,-0.01163,-33.602

1536.1899999999998,-0.00923,-34.31932

1536.1949999999997,-0.00753,-34.31486

1536.1999999999998,-0.01148,-33.81963

1536.205,-0.00725,-34.3905

1536.2099999999998,-0.00907,-34.38875

1536.215,-0.01002,-34.58556

1536.2199999999998,-0.00577,-36.12164

1536.2249999999997,0.00449,-37.45713

1536.2299999999998,-0.0068,-34.73888

1536.235,0.00372,-36.87429

1536.2399999999998,-0.00602,-35.5059

1536.245,-0.00957,-34.3311

1536.2499999999998,-0.00369,-35.37386

1536.2549999999997,0.08932,-54.14173

1536.2599999999998,-0.0119,-34.22642

1536.2649999999999,-0.01191,-33.93853

1536.2699999999998,-0.00729,-34.84131

1536.2749999999999,-0.00244,-35.441

1536.2799999999997,-0.00976,-34.12909

1536.2849999999999,-0.00449,-35.50445

1536.29,-0.00273,-36.51618

1536.2949999999998,0.00166,-36.76483

1536.3,-0.01156,-34.76453

1536.3049999999998,-0.01177,-34.14252

1536.3099999999997,0.09053,-54.08397

1536.3149999999998,0.01378,-39.05507

1536.32,-0.01162,-33.7474

1536.3249999999998,-0.00748,-34.70793

1536.33,-0.00611,-35.4655

1536.3349999999998,0.0869,-54.19311

1536.3399999999997,0.0907,-54.09519

1536.3449999999998,-0.0015,-35.43509

1536.35,-0.0033,-35.26219

1536.3549999999998,-0.00827,-34.28767

1536.36,-0.01231,-33.70634

1536.3649999999998,-0.0123,-33.65635

1536.3699999999997,-0.01044,-34.28828

1536.3749999999998,0.08913,-54.08185

1536.3799999999999,0.08823,-54.11912

1536.3849999999998,-0.00698,-35.43108

1536.3899999999999,-0.00667,-34.53838

1536.3949999999998,0.08846,-54.25619

1536.3999999999999,-0.0005,-35.8767

1536.4049999999997,0.00299,-36.65823

1536.4099999999999,-0.00576,-35.00866

1536.415,0.00333,-36.87948

1536.4199999999998,-0.00426,-35.58163

1536.4249999999997,-0.00793,-34.71622

1536.4299999999998,0.00223,-37.0768

1536.4349999999997,0.08987,-54.16225

1536.4399999999998,-0.00178,-35.45958

1536.445,0.00078,-36.04278

1536.4499999999998,0.0031,-37.07956

1536.4549999999997,-0.00583,-34.8033

1536.4599999999998,-0.00151,-35.88035

1536.465,-0.00037,-36.17514

1536.4699999999998,-0.00784,-34.67005

1536.475,-0.00255,-35.62417

1536.4799999999998,0.09104,-54.1333

1536.4849999999997,-0.00013,-35.86763

1536.4899999999998,-0.00129,-35.50575

1536.495,0.08858,-54.39963

1536.4999999999998,0.02221,-40.35353

1536.5049999999999,-0.00638,-34.54078

1536.5099999999998,-0.00485,-35.33045

1536.5149999999999,-0.00325,-35.59011

1536.5199999999998,0.09055,-54.15806

1536.5249999999999,0.00448,-36.93852

1536.53,-0.01289,-33.62656

1536.5349999999999,-0.01181,-34.1997

1536.5399999999997,-0.00591,-34.48555

1536.5449999999998,-0.01069,-34.25865

1536.5499999999997,-0.00197,-35.40812

1536.5549999999998,-0.00181,-35.43578

1536.56,0.01204,-38.83325

1536.5649999999998,0.00271,-36.34686

1536.5699999999997,-0.00886,-34.24771

1536.5749999999998,0.00156,-36.54179

1536.5799999999997,-0.00286,-35.45925

1536.5849999999998,-0.00543,-34.89721

1536.59,0.00637,-37.3022

1536.5949999999998,-0.00778,-34.89613

1536.5999999999997,0.08799,-54.20727

1536.6049999999998,-0.01242,-34.05277

1536.61,-0.00978,-34.38417

1536.6149999999998,-0.01031,-33.80587

1536.62,-0.00816,-34.3668

1536.6249999999998,-0.00868,-34.13048

1536.6299999999999,-0.00047,-36.67298

1536.6349999999998,-0.00877,-34.39299

1536.6399999999999,-0.0106,-34.48705

1536.645,-0.00957,-34.39943

1536.6499999999999,-0.00586,-35.13802

1536.6549999999997,0.09019,-54.15003

1536.6599999999999,-0.00893,-34.4711

1536.6649999999997,-0.0014,-35.35078

1536.6699999999998,-0.00684,-34.6041

1536.675,-0.00101,-36.0473

1536.6799999999998,0.00257,-36.7158

1536.6849999999997,-0.00664,-35.03

1536.6899999999998,-0.00885,-34.51822

1536.6949999999997,-0.0042,-35.70225

1536.6999999999998,0.01826,-40.09292

1536.705,-0.01075,-34.53366

1536.7099999999998,-0.01393,-33.98417

1536.7149999999997,-0.00896,-34.37156

1536.7199999999998,-0.00757,-34.42807

1536.7249999999997,-0.00467,-35.20788

1536.7299999999998,-0.00771,-34.76678

1536.735,-0.00032,-36.08703

1536.7399999999998,0.08996,-54.24321

1536.745,0.00106,-36.63901

1536.7499999999998,-0.00748,-34.44618

1536.7549999999999,-0.007,-34.4327

1536.76,0.00372,-36.65384

1536.7649999999999,0.00334,-36.81587

1536.7699999999998,-0.00334,-35.49779

1536.7749999999999,-0.00751,-34.35585

1536.7799999999997,-0.00576,-34.93848

1536.7849999999999,0.09105,-54.03178

1536.79,-0.00559,-34.82276

1536.7949999999998,0.00835,-37.56628

1536.7999999999997,0.08979,-54.2481

1536.8049999999998,-0.00525,-35.0649

1536.8099999999997,-0.00705,-34.77513

1536.8149999999998,-0.00256,-35.91663

1536.82,0.00792,-37.36902

1536.8249999999998,0.09212,-54.1644

1536.8299999999997,0.00115,-36.28293

1536.8349999999998,-0.00628,-34.77879

1536.8399999999997,-0.0058,-35.21748

1536.845,-0.00885,-34.70866

1536.85,7e-05,-36.22239

1536.8549999999998,-0.00201,-35.85309

1536.86,0.0069,-37.70587

1536.8649999999998,-0.00991,-34.05829

1536.8699999999997,0.09019,-54.1143

1536.875,-0.00613,-34.99652

1536.8799999999999,0.00284,-36.86936

1536.8849999999998,-0.00135,-35.84385

1536.8899999999999,-0.00265,-35.44127

1536.8949999999998,-0.01009,-34.42929

1536.8999999999999,-0.01154,-34.26839

1536.905,-0.01082,-34.1867

1536.9099999999999,0.01639,-39.56818

1536.9149999999997,-0.01297,-33.73359

1536.9199999999998,-0.00944,-34.38387

1536.9249999999997,-0.00411,-35.49763

1536.9299999999998,0.0888,-54.13562

1536.935,0.09007,-54.02607

1536.9399999999998,0.0916,-54.0064

1536.9449999999997,0.09115,-54.07641

1536.9499999999998,-0.01015,-34.39333

1536.9549999999997,-0.00878,-34.36534

1536.96,0.00114,-36.06315

1536.965,0.09023,-54.28589

1536.9699999999998,-0.00576,-35.14301

1536.975,-0.00693,-34.97706

1536.9799999999998,-0.00625,-34.81372

1536.9849999999997,0.00163,-36.75523

1536.99,-0.00123,-35.9287

1536.995,-0.00828,-34.58725

1536.9999999999998,-0.00433,-35.48741

1537.0049999999999,0.08787,-54.24098

1537.0099999999998,-0.00895,-34.66455

1537.0149999999996,-0.00507,-35.14957

1537.02,-0.01083,-34.07211

1537.0249999999999,-0.01173,-34.06929

1537.0299999999997,-0.00968,-34.39129

1537.0349999999999,-0.00388,-35.32866

1537.0399999999997,0.09009,-54.29457

1537.0449999999996,-0.01007,-34.61105

1537.05,-0.00484,-35.3477

1537.0549999999998,0.00832,-38.06178

1537.0599999999997,0.08905,-54.281

1537.0649999999998,-0.00399,-35.38786

1537.0699999999997,-0.00506,-35.42759

1537.0749999999998,-0.00792,-36.16909

1537.08,-0.00585,-35.12254

1537.0849999999998,0.09101,-54.23013

1537.09,0.01171,-38.3234

1537.0949999999998,0.00137,-36.09633

1537.0999999999997,0.09052,-54.16704

1537.1049999999998,0.08961,-54.19768

1537.11,-0.00167,-36.22376

1537.1149999999998,-0.00403,-35.52837

1537.12,-0.003,-35.53615

1537.1249999999998,0.00992,-38.05303

1537.1299999999997,-0.00792,-34.33195

1537.135,0.00168,-36.28018

1537.1399999999999,-0.00197,-35.94176

1537.1449999999998,-0.00472,-35.73091

1537.1499999999999,-0.01217,-33.931

1537.1549999999997,-0.00709,-34.91717

1537.1599999999996,0.08999,-54.32065

1537.165,0.01988,-40.05291

1537.1699999999998,-0.00102,-35.63926

1537.1749999999997,-0.0008,-35.64544

1537.1799999999998,-0.00174,-35.67729

1537.1849999999997,-0.00108,-35.63174

1537.1899999999998,0.02156,-40.68087

1537.195,-0.0081,-34.85425

1537.1999999999998,0.00363,-36.96963

1537.205,0.09031,-54.31617

1537.2099999999998,0.09112,-54.37833

1537.2149999999997,0.09179,-54.38877

1537.2199999999998,-0.00272,-35.71449

1537.225,-0.00884,-34.59718

1537.2299999999998,-0.00409,-35.33402

1537.235,0.0866,-54.43769

1537.2399999999998,0.09007,-54.30624

1537.2449999999997,0.00222,-36.51948

1537.2499999999998,-0.00804,-34.77033

1537.2549999999999,-0.005,-35.21844

1537.2599999999998,-0.00888,-34.46524

1537.2649999999999,-0.00717,-34.70606

1537.2699999999998,-0.00103,-36.15232

1537.2749999999996,0.00039,-36.82045

1537.28,-0.00869,-35.06797

1537.2849999999999,0.09043,-54.28078

1537.2899999999997,-0.00178,-36.96546

1537.2949999999998,-0.00377,-35.57937

1537.2999999999997,0.09058,-54.44466

1537.3049999999998,-0.00032,-36.62339

1537.31,0.09095,-54.4212

1537.3149999999998,-0.00627,-35.85826

1537.32,-0.00143,-36.21815

1537.3249999999998,-0.00608,-35.05969

1537.3299999999997,0.00832,-37.6965

1537.3349999999998,-0.00364,-35.82798

1537.34,-0.0077,-35.89536

1537.3449999999998,0.00245,-36.86169

1537.35,0.08774,-54.23581

1537.3549999999998,-0.00941,-34.55667

1537.3599999999997,-0.00364,-35.50775

1537.3649999999998,-0.00558,-35.67459

1537.37,-0.00493,-35.64847

1537.3749999999998,-0.00703,-36.09706

1537.3799999999999,0.0067,-37.89893

1537.3849999999998,-0.01184,-33.88936

1537.3899999999996,0.01354,-39.07829

1537.3949999999998,-0.00216,-35.84488

1537.3999999999999,0.00922,-38.01271

1537.405,-0.00563,-35.07842

1537.4099999999999,-0.00961,-34.46219

1537.4149999999997,-0.00976,-34.53609

1537.4199999999998,-0.00891,-34.5177

1537.425,-0.00687,-35.18648

1537.4299999999998,0.0033,-38.16217

1537.435,-0.00027,-37.50223

1537.4399999999998,0.08841,-54.29981

1537.4449999999997,0.08986,-54.25546

1537.4499999999998,0.01176,-39.01674

1537.455,-0.01181,-33.98431

1537.4599999999998,-0.00347,-35.71509

1537.465,-0.00359,-35.80328

1537.4699999999998,-0.01167,-34.15664

1537.4749999999997,0.00329,-37.36062

1537.4799999999998,-0.00836,-34.88279

1537.485,0.089,-54.47789

1537.4899999999998,-0.00133,-36.04069

1537.495,-0.00236,-35.68976

1537.4999999999998,0.09029,-54.35167

1537.5049999999997,0.08914,-54.3041

1537.5099999999998,0.01032,-38.405

1537.5149999999999,0.00045,-36.36875

1537.52,-0.00329,-36.19556

1537.5249999999999,-0.00645,-35.87798

1537.5299999999997,-0.00986,-34.71313

1537.5349999999999,-0.00905,-34.70952

1537.5399999999997,-0.0081,-34.84193

1537.5449999999998,0.00068,-36.53063

1537.55,-0.00637,-35.16911

1537.5549999999998,-0.0023,-36.23204

1537.5599999999997,0.08781,-54.3058

1537.5649999999998,-0.00017,-36.56134

1537.5699999999997,-0.00435,-35.56423

1537.5749999999998,0.0035,-37.59436

1537.58,-0.00497,-35.32913

1537.5849999999998,-0.00926,-34.42661

1537.5899999999997,-0.01135,-33.93945

1537.5949999999998,-0.00756,-34.5224

1537.6,0.09173,-54.25801

1537.6049999999998,-0.002,-35.95053

1537.61,-0.00971,-34.63376

1537.6149999999998,-0.00918,-34.54131

1537.6199999999997,-0.0052,-35.36571

1537.6249999999998,0.08776,-54.127

1537.6299999999999,-0.00703,-35.10063

1537.635,-0.00742,-35.18333

1537.6399999999999,-0.00996,-34.69155

1537.6449999999998,0.08929,-54.25792

1537.6499999999999,-0.00421,-35.54558

1537.6549999999997,-0.00944,-34.55897

1537.6599999999999,-0.00532,-35.29297

1537.665,-0.0074,-34.6043

1537.6699999999998,-0.00434,-35.40434

1537.6749999999997,-0.00595,-35.66231

1537.6799999999998,-0.00254,-35.70331

1537.6849999999997,-0.0035,-36.29513

1537.6899999999998,-0.00994,-34.18481

1537.695,-0.00388,-35.57233

1537.6999999999998,0.08791,-54.20548

1537.7049999999997,0.08677,-54.28816

1537.7099999999998,-0.00422,-35.58949

1537.7149999999997,-0.00687,-34.78914

1537.7199999999998,-0.00313,-35.60304

1537.725,-0.00259,-35.90233

1537.7299999999998,-0.00678,-35.24083

1537.7349999999997,0.00976,-38.47475

1537.7399999999998,-0.00329,-35.59932

1537.745,-0.00926,-34.7466

1537.75,0.00541,-37.19501

1537.7549999999999,0.09254,-54.46546

1537.7599999999998,0.09084,-54.53476

1537.7649999999999,0.00338,-37.23011

1537.7699999999998,-0.00593,-34.84933

1537.7749999999999,-0.00963,-34.21901

1537.78,-0.00694,-35.31974

1537.7849999999999,-0.01041,-34.42073

1537.7899999999997,-0.01064,-34.78676

1537.7949999999998,0.01479,-39.22258

1537.7999999999997,-0.0071,-34.61892

1537.8049999999998,0.08984,-54.40704

1537.81,0.09206,-54.34325

1537.8149999999998,-0.00705,-34.73368

1537.8199999999997,0.08997,-54.41627

1537.8249999999998,0.08961,-54.39812

1537.8299999999997,0.01346,-39.1927

1537.8349999999998,-0.00173,-36.12444

1537.84,0.09085,-54.3918

1537.8449999999998,0.08928,-54.42682

1537.85,0.08949,-54.44349

1537.8549999999998,0.09072,-54.32138

1537.8599999999997,-0.0016,-36.10172

1537.865,-0.00353,-35.67321

1537.87,-0.01118,-33.94015

1537.8749999999998,-0.0032,-35.68858

1537.8799999999999,-0.00575,-35.3257

1537.8849999999998,-0.00486,-35.45518

1537.8899999999999,0.09107,-54.47909

1537.895,0.00398,-37.60854

1537.8999999999999,-0.01439,-34.18609

1537.9049999999997,-0.01197,-34.18862

1537.9099999999999,-0.01136,-34.32426

1537.9149999999997,0.00047,-36.2271

1537.9199999999998,0.00393,-37.06536

1537.925,-0.00829,-34.66872

1537.9299999999998,-0.00535,-35.78046

1537.9349999999997,-0.00252,-35.73125

1537.9399999999998,-0.00856,-34.62414

1537.9449999999997,0.01122,-38.71908

1537.9499999999998,-0.00759,-34.78551

1537.955,0.00703,-37.63915

1537.9599999999998,0.08953,-54.37611

1537.965,-0.01146,-34.27649

1537.9699999999998,-0.00752,-34.62296

1537.9749999999997,0.01157,-38.82886

1537.98,-0.00242,-35.9869

1537.985,0.09174,-54.42696

1537.9899999999998,0.00041,-35.97127

1537.995,0.09229,-54.41847

1537.9999999999998,0.09071,-54.45949

1538.0049999999997,-0.00881,-34.80703

1538.01,-0.00433,-35.51224

1538.0149999999999,-0.00233,-35.66135

1538.0199999999998,-0.01161,-34.09942

1538.0249999999999,-0.00431,-35.42443

1538.0299999999997,0.09006,-54.27717

1538.0349999999996,0.09039,-54.26374

1538.04,0.08881,-54.3805

1538.0449999999998,0.09082,-54.28898

1538.0499999999997,-0.01104,-33.95771

1538.0549999999998,0.00814,-39.18656

1538.0599999999997,-0.00406,-35.98671

1538.0649999999998,0.08967,-54.42367

1538.07,-0.00825,-34.89582

1538.0749999999998,-0.0073,-35.41591

1538.08,-0.01124,-34.83059

1538.0849999999998,-0.00309,-36.2715

1538.0899999999997,0.0016,-36.78799

1538.095,0.00246,-36.76193

1538.1,0.00515,-37.84854

1538.1049999999998,-0.00734,-36.37904

1538.11,0.08717,-54.54406

1538.1149999999998,0.08961,-54.50151

1538.1199999999997,0.08999,-54.44987

1538.125,-0.00641,-35.19447

1538.1299999999999,-0.00696,-35.33701

1538.1349999999998,0.00312,-37.60796

1538.1399999999999,-0.00175,-36.69395

1538.1449999999998,-0.00475,-35.69916

1538.1499999999996,0.00274,-36.88507

1538.155,0.00166,-36.99308

1538.1599999999999,0.00054,-36.64476

1538.1649999999997,0.00485,-37.32409

1538.1699999999998,0.02029,-40.90604

1538.1749999999997,0.09143,-54.23983

1538.1799999999996,-0.01405,-34.07241

1538.185,-0.0101,-34.94928

1538.1899999999998,0.08703,-54.41815

1538.195,-0.00647,-35.62885

1538.1999999999998,-0.01137,-33.98749

1538.2049999999997,-0.00861,-34.67461

1538.2099999999998,-0.00317,-35.89149

1538.215,0.00385,-37.32253

1538.2199999999998,-0.01236,-34.96228

1538.225,0.00091,-36.6632

1538.2299999999998,0.00071,-36.74285

1538.2349999999997,-0.01174,-34.36832

1538.2399999999998,-0.0056,-35.40872

1538.245,-0.01103,-34.02224

1538.2499999999998,0.09068,-54.33378

1538.2549999999999,-0.00022,-35.92647

1538.2599999999998,0.08935,-54.2934

1538.2649999999996,-0.00554,-35.75306

1538.27,-0.00445,-35.72127

1538.2749999999999,-0.0086,-34.62235

1538.2799999999997,-0.01056,-34.65969

1538.2849999999999,-0.00856,-34.55767

1538.2899999999997,0.01427,-39.25547

1538.2949999999996,0.09036,-54.34992

1538.3,-0.00188,-35.99433

1538.3049999999998,0.08794,-54.40453

1538.31,-0.00566,-35.856

1538.3149999999998,-0.00268,-35.79815

1538.3199999999997,-0.00204,-36.00314

1538.3249999999998,0.08557,-54.60566

1538.33,-0.01153,-34.72221

1538.3349999999998,-0.00991,-34.49034

1538.34,-0.01103,-33.96417

1538.3449999999998,-0.00852,-34.81855

1538.3499999999997,0.08733,-54.49894

1538.3549999999998,-0.0128,-34.97523

1538.36,-0.00619,-35.40521

1538.3649999999998,-0.00771,-34.98326

1538.37,0.00682,-37.73915

1538.3749999999998,0.08972,-54.50783

1538.3799999999997,0.00247,-37.19294

1538.3849999999998,-0.00491,-35.82472

1538.3899999999999,0.00607,-37.44206

1538.3949999999998,-0.00263,-36.38708

1538.3999999999999,-0.01186,-34.92695

1538.4049999999997,0.01267,-39.07858

