CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-32.84698331441335,-50.659884226480884,-110.0,-22.732733453208873,-30.94798692200626,-25.662856988734745,-27.8427702785727
-32.89228842090186,-52.54597786564865,-58.4044872907494,-22.718505089487557,-30.928294247464088,-25.718741614614082,-27.764407973739722
-32.853523627797365,-52.17118752242145,-62.680106175128714,-22.721733341243734,-30.864293473549523,-25.537097082908602,-27.745584019135585
-32.83542724824834,-54.60315416495396,-110.0,-22.724317671521355,-30.863880217405573,-25.40365962747753,-27.7170118075695
-32.80138999997525,-50.7290341149765,-110.0,-22.721883055801946,-30.90747874156108,-25.3863508509056,-27.69536534825862
-32.90253792351922,-50.64199713947889,-51.52364146116591,-22.707233522093503,-30.943027552454872,-25.37017201056073,-27.701656317172507
-33.17866165563694,-52.540588503987095,-53.12217874368196,-22.696563936929763,-30.988394035213467,-25.39822571666123,-27.658475878538198
-33.09563529533819,-50.73227552646921,-56.40955076754254,-22.714030107050164,-31.081694440481122,-25.43121723729228,-27.645108699577833
-32.87459069782885,-50.54101899325458,-53.54940497509335,-22.743912720648822,-30.998565027979183,-25.435546526055404,-27.64137957823162
-32.85410587271285,-51.59169188154354,-61.833755499954066,-22.768039217291538,-31.022960107225842,-25.494892910860898,-27.638201738481705
-32.99462119685543,-57.41201704371227,-110.0,-22.77664496125353,-31.041140212909795,-25.610722182690857,-27.648770951911025
-33.0385851331298,-52.79569323147517,-110.0,-22.771012555143315,-31.079262420516528,-25.633937419266537,-27.662331520023628
-32.87834785656568,-52.79569323099359,-61.996410302865925,-22.744383338237924,-30.975021560694067,-25.551813754812194,-27.682407417792305
-32.762356382614335,-51.628934994793696,-54.95528294464039,-22.707173006545247,-30.930322699445057,-25.474980599209985,-27.72957354511579
-32.88636402533953,-53.97435336138996,-58.20563573873163,-22.69244725167433,-30.97960597838687,-25.441281784946725,-27.77805041843402
-32.95681485322788,-52.007421933269654,-110.0,-22.69244725167121,-31.119520070446065,-25.43682862256852,-27.773397655490882
-32.93242411683746,-50.792432771378714,-54.8595519281068,-22.70969486691711,-31.104150478801216,-25.46885191725862,-27.741806551473935
-32.891952758755195,-49.52855892850185,-54.60315416495396,-22.736017940495188,-31.044306760874576,-25.536480306677618,-27.65867091894387
-32.78232510631835,-50.85028085002487,-56.958468486087554,-22.76984769767735,-31.048064953346525,-25.590280810452803,-27.68008933651457
-32.71879600553835,-52.07765980562728,-64.84253941827518,-22.788143994449896,-31.030904810402617,-25.574405705181782,-27.705666520609576
-32.70624047789578,-51.523641460731454,-110.0,-22.788087135256603,-30.982329636466808,-25.526582621591857,-27.685581833743733
-32.715260672011375,-51.523641460731454,-110.0,-22.764168524308673,-30.93958784082492,-25.517264668846934,-27.63472610542312
-32.80705815948274,-50.73495787949702,-60.199223719001296,-22.72602824859125,-30.93748435687032,-25.55211473668941,-27.61922462413584
-32.99864315477229,-50.645736388229935,-55.66388946878787,-22.69262008582779,-30.990708944529743,-25.53623508584831,-27.62135803021743
-33.17909202165439,-52.79569323099359,-54.60315416495396,-22.6758096378323,-31.07456402780538,-25.494384032174224,-27.67361526841259
-33.21916279004191,-52.32903836591659,-52.62210555717199,-22.685236103016486,-31.11802845542787,-25.487430973556116,-27.761378306107083
-33.17149981450653,-51.89166424655741,-56.914346770657176,-22.715601713183986,-31.094299129942165,-25.510843436283004,-27.78892544543013
-33.124353239713344,-51.589010633350355,-71.89220305171487,-22.74618172840504,-31.116250436412187,-25.492766566726992,-27.74830448434767
-32.95043968245341,-50.453964284368396,-57.75433711925383,-22.76375352860154,-31.195720972366118,-25.44054547555681,-27.68405426488212
-32.76626874429265,-52.38140670784908,-54.472848413676914,-22.766688688242766,-31.21864266606046,-25.440544059933018,-27.655920341288088
-32.776529966669926,-51.523641460731454,-52.79569323099359,-22.750568017675306,-31.107308720397384,-25.501356477023343,-27.629783839635238
-32.882338178426934,-51.87504018368924,-54.74212880021513,-22.71963173660108,-30.978269971865117,-25.527587967939525,-27.61087339238643
-32.96029607425603,-53.91342364662948,-55.74759307645911,-22.689443709684475,-30.914424950494286,-25.45720608905284,-27.62616655484529
-32.90765541392447,-54.33139690306304,-58.4718002393918,-22.675014299593947,-30.913841033584305,-25.37279492989809,-27.61846721694635
-32.836063980911305,-53.182101123203594,-56.88337125065647,-22.68463576294895,-30.946430290294096,-25.339289644531675,-27.615299172745054
-33.00022645139706,-54.83762438296867,-59.197941291961115,-22.719927739162422,-30.937570775565007,-25.352469853274293,-27.66414974697264
-33.31150357968279,-52.79569323099359,-56.43393701129558,-22.76198066640049,-30.907806400855108,-25.33084492852528,-27.674362707723922
-33.158646407892924,-52.79569323099359,-53.27366271223349,-22.785426549365575,-30.90329391211351,-25.284061857640637,-27.642849151429346
-32.746153216696115,-52.79569323099359,-110.0,-22.779578413547583,-30.94032974992828,-25.2902453191006,-27.628233238166224
-32.55710580878685,-53.829492649723136,-56.038641701539504,-22.738976464484644,-30.902034902785694,-25.29824218100611,-27.64912138647403
-32.59819961876234,-52.1556971137432,-52.82867402967622,-22.693952788942518,-30.837013422227493,-25.3218359928859,-27.758258881387576
-32.68991060329672,-51.523641460731454,-54.7981729757017,-22.678036908139056,-30.803236789083797,-25.437300621957036,-27.735372188422758
-32.741116577773006,-51.523641460731454,-57.15026004309024,-22.704207536457552,-30.775421959982253,-25.504899936523977,-27.6999902189604
-32.88712008081923,-51.523641460731454,-54.92214614223845,-22.74529313844713,-30.795853314011808,-25.413885205122554,-27.74087294638636
-32.9799569785554,-54.18453505921464,-59.85703981749117,-22.774035876330814,-30.9257876229009,-25.32598157393118,-27.70328287462234
