CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-110.0,-46.13097426171845,-37.71244045274499,-34.955483193952084,-46.085627233044605,-40.406134635881685,-42.471687457333886
-110.0,-45.92772145663085,-37.72317504761724,-34.98732709525485,-46.03443666685915,-40.406134635881685,-42.159229365916886
-58.584702165000394,-45.94910792003897,-37.678885912883615,-35.15750962444461,-46.92017211555307,-40.406134635881685,-42.684161482949904
-53.18192523653492,-45.795851579226905,-37.76787360707789,-35.15573210009719,-46.13291939422466,-40.43343129674027,-42.535908701944436
-110.0,-45.48786306186385,-37.92138796273881,-35.172527832580805,-46.691414495212754,-40.62274770961986,-42.34566250718327
-110.0,-45.204322376938066,-37.88910500648471,-35.096024235463865,-46.335560397525086,-40.427955254207006,-42.222825956860376
-58.26549395807645,-45.721461881778666,-37.740281387445705,-35.05774778567294,-46.19309912774247,-40.54693423148949,-42.29952633973271
-110.0,-46.357889748543954,-37.65032457791491,-34.98883365859426,-47.00993978151216,-40.63905780597346,-42.36597668917403
-110.0,-46.021739051678225,-37.62417324264583,-35.036798796038305,-46.64221887713087,-40.58007120130811,-42.36597668934418
-63.249996122009435,-45.45217902890472,-37.68297060189458,-35.00384727850994,-46.47799510043207,-40.6408453936865,-42.10614325309311
-55.439833645405386,-45.45217902890472,-37.56702740970893,-35.02855911636405,-46.91091289884912,-40.821061535358,-42.095450344299145
-110.0,-45.45217902890472,-37.56080889688813,-35.05163111422908,-46.0894546036574,-40.81026086146177,-42.24893825617698
-110.0,-45.255923351433054,-37.483819572373875,-35.071719866942146,-46.68174706958017,-40.41643560494055,-42.169652291687655
-110.0,-45.34827324820742,-37.551497790800674,-35.04988864969402,-46.416147031028174,-40.49073320463761,-42.09840035103268
-58.88050677333905,-45.58812307065469,-37.50523936740814,-34.97002278910826,-46.35788974897922,-40.56763522361311,-41.69180919926282
-57.75433711925383,-45.73355725340413,-37.50448285093341,-34.94953836935196,-46.556686653000995,-40.45123630597058,-42.0044712587747
-61.518983806302984,-45.73355725340413,-37.52293143862612,-34.96275144724326,-46.227919644518906,-40.67610765332177,-41.948651178302036
-62.01243843570845,-45.70358914435043,-37.55229093896408,-34.96360528592645,-45.83863741593993,-40.90234064290151,-42.08368466131391
-59.29847065643288,-45.46158426536225,-37.602187791541795,-34.94953836935196,-46.113069646854285,-40.95038959605499,-42.23980339872647
-61.24095890846684,-45.69222689617993,-37.57098963495838,-34.958210627134925,-46.35788974897922,-40.92458299253618,-42.41404792158485
-52.95703434762916,-45.303392214531044,-37.610811985150136,-34.99657564292778,-46.33927399257311,-40.82399064144029,-42.664473845989086
-57.2845856830735,-45.5574741512912,-37.6116121685702,-34.97473577915982,-46.040212758051936,-40.669760414357654,-42.82652079254032
-110.0,-45.55944834033741,-37.57671603121874,-34.93149260686919,-46.95905111963094,-40.669760414357654,-42.67150937576843
-110.0,-45.915019646434914,-37.597231376455554,-34.92534777271841,-46.4840131724479,-40.669760414357654,-42.443542740736426
-62.58429806057805,-46.1963234445322,-37.77390395803762,-34.90837763334473,-46.35788974897922,-40.59349107446852,-42.571597927445936
-57.75433711925383,-46.18365410701429,-37.940836955533534,-34.917301019123165,-46.35788974897922,-40.80505256209847,-42.70869972141375
-62.55378607734147,-46.06517396704989,-38.05954741898936,-34.98826363532844,-46.13755365923764,-40.62826006001919,-42.57986218149669
-110.0,-45.73355725340413,-38.0217630632786,-35.06968596425098,-46.24095946168937,-40.509316081706224,-42.57159792756152
-110.0,-45.83706197254156,-37.83162601624733,-35.09766353147982,-46.78336345485833,-40.76841697319332,-43.076590799106896
-110.0,-45.94874684167797,-37.683552172355036,-35.08464718133675,-46.49032419752123,-40.721339956273724,-42.80555155390741
-110.0,-45.67474197000823,-37.60484268961175,-35.03943059160483,-46.32739374591283,-40.669760414357654,-42.509660048947104
-57.18169348339123,-45.45217902890472,-37.71251428965436,-34.95311900409404,-46.32069482759273,-40.51362850162535,-42.43345959894177
-53.88897834554977,-45.45217902890472,-37.76417379919343,-34.87732823948158,-45.82221255047469,-40.5460956909777,-42.51794656644023
-59.427861296679154,-45.45217902890472,-37.841594554396266,-34.870783893401374,-46.19628249039704,-40.578349376946036,-42.48980897743471
-63.81736083024239,-45.48435163452331,-37.80396909710515,-34.8535354437947,-46.79364705737443,-40.62204797376792,-42.2030697527358
-57.75433711925383,-46.00800265709273,-37.6116121685702,-34.853535443794684,-47.00229928923477,-40.6750748369548,-42.33589886545937
-59.413405241655795,-45.45217902890472,-37.62020213850576,-34.86465627175174,-46.70720479594168,-40.66596849829778,-42.48877475661152
-62.36484747033593,-45.66152073063233,-37.6690164440999,-34.91655775906096,-46.49736190621765,-40.659686639117034,-42.43345959894177
-110.0,-46.105922867616925,-37.72090131809115,-34.92752349090004,-46.171164966501635,-40.7654985881394,-42.43345959894177
-110.0,-45.58078871785389,-37.67141099658267,-34.901252102228646,-46.16691663692927,-40.41386941741933,-42.43345959894177
-58.714299233294554,-45.45217902890472,-37.6116121685702,-34.86569221666965,-46.79258481379003,-40.40415172939379,-42.43345959894177
-110.0,-45.71233891307689,-37.73495325790172,-34.831522540325174,-47.087093238607764,-40.45513072963114,-42.43345959894177
-110.0,-44.78391044931789,-37.78907514163351,-34.846733814965766,-46.43854747098449,-40.53058491223423,-42.43345959894177
-57.75433711925383,-45.52230558752747,-37.73418388326675,-34.95744354361807,-46.85344680974963,-40.37058010722931,-42.72091319263072
-53.27080929113288,-45.639785560114575,-37.72165695409984,-35.00742156948257,-46.08117678977277,-40.523799052250865,-42.74836918962926
-53.270955163693,-45.45217902890472,-37.72508118819565,-35.02080280033037,-45.59058973756086,-40.51307612282771,-42.967515105359126
-110.0,-45.1985724807368,-37.67595530099083,-34.982546684968725,-45.960657451167265,-40.64227266797505,-43.01457387086064
-60.582492619171106,-45.182850083319465,-37.771317788455264,-34.922305590264216,-46.35788974897922,-40.749989776098055,-43.169497183299754
-110.0,-45.71649120911552,-37.812071241513365,-34.8507175809068,-46.35788974897922,-40.60450291863215,-42.460203656135405
-110.0,-45.76215053968366,-37.76631617001481,-34.79756380675696,-46.81552915985016,-40.73236985791166,-42.43345959894177
-62.3882619566599,-45.56900654640309,-37.77543152263482,-34.84562053218347,-46.173784832975684,-40.68577547224669,-42.43345959894177
-57.75433711925383,-45.846826802721836,-37.74179985675306,-34.93954729945522,-46.31852001778371,-40.598890065922326,-42.189773716398065
-110.0,-45.92584790743655,-37.70214152767043,-34.973864464896856,-46.28599468968497,-40.71528136712801,-42.05575194437745
-110.0,-45.36910948419809,-37.679340917941,-35.01773736998547,-46.21809363415423,-40.56815311682536,-42.26417643366644
-110.0,-44.981697787237195,-37.63620274136065,-35.04771155163084,-46.17733327206443,-40.43409455541317,-42.41217539166701
-110.0,-45.8995170192935,-37.70484060486015,-35.00701268874333,-46.73526582246383,-40.406134635881685,-42.54689910607848
-110.0,-46.08468517457608,-37.841594554396266,-34.93527144602476,-47.294438866461604,-40.57300140586114,-42.351547365279465
-110.0,-45.302192241180464,-37.87693061308768,-34.864696066312945,-47.27813297540989,-40.72697318356607,-42.29952633973271
-110.0,-45.151382172071024,-37.988534605921615,-34.78378821184882,-46.779119779368145,-40.59252543086931,-42.29952633973271
-58.47180026063164,-45.73355725340413,-38.0844400970357,-34.725115239950235,-46.173797617448216,-40.49223219871883,-42.40093691300416
-57.46846638658134,-45.83775115851287,-38.03056866581545,-34.72536010633804,-46.060561160010664,-40.43342758261744,-42.654255478876124
-60.8591554086196,-45.910283841626566,-37.91661268243451,-34.736413050468904,-45.73355725340413,-40.5322713356594,-42.83691141916978
-110.0,-45.73355725340413,-37.79660637090686,-34.74990688714211,-46.622897166184345,-40.650521867984786,-42.477076714441814
-110.0,-45.87832397636434,-37.72752872351566,-34.7738338762841,-46.77600821420444,-40.669760414357654,-42.975885063225505
-110.0,-45.87832397725418,-37.77617298610779,-34.72416512941537,-46.14625828713923,-40.669760414357654,-42.44480593793206
-62.92734471038122,-45.73355725340413,-37.824905364785465,-34.690426978094024,-46.47586852912204,-40.5909545539194,-43.01457386992014
-55.34975878272357,-45.73355725340413,-37.77713094574503,-34.7213435844165,-45.995711629284614,-40.50111440415055,-42.861859840486495
-60.956712151647395,-45.54799584080327,-37.748142660785255,-34.76998574993133,-45.96212679118197,-40.57629695554304,-42.861859840486495
-110.0,-45.45217902890472,-37.748142660785255,-34.782891270700205,-46.58507841726417,-40.765327572174996,-42.75868421030395
-58.07447383187771,-45.02378265880853,-37.83338799995149,-34.80374868360519,-46.70720479594168,-40.892799490656735,-42.4039615974373
-110.0,-45.92739166402676,-37.794636265901794,-34.94637370547254,-46.70720479594168,-41.17237735373182,-42.714274851288714
-59.5041337642169,-45.73355725340413,-37.794636265901794,-34.92695629382765,-46.35788974897922,-41.18196829236592,-42.714274851288714
