lambda,CH0 - loss [db/um],CH0 - insertion loss [dB]
1535.7899999999997,-0.08446,-33.9197
1535.7949999999998,-0.22131,-24.74348
1535.8,-0.07968,-34.1339
1535.8049999999998,-0.07123,-34.69641
1535.8099999999997,-0.09408,-33.21459
1535.8149999999998,-0.22004,-24.76582
1535.8199999999997,-0.22152,-24.7983
1535.8249999999998,-0.10215,-32.71989
1535.83,-0.0829,-34.03309
1535.8349999999998,-0.22132,-24.9672
1535.84,-0.22103,-24.95604
1535.8449999999998,-0.08281,-34.1057
1535.8499999999997,-0.07418,-34.60764
1535.855,-0.09249,-33.402
1535.86,-0.22229,-24.81543
1535.8649999999998,-0.22111,-24.74226
1535.87,-0.07235,-34.65194
1535.8749999999998,-0.22169,-24.83042
1535.8799999999997,-0.2208,-24.86732
1535.885,-0.22109,-24.81713
1535.8899999999999,-0.22073,-24.83805
1535.8949999999998,-0.22183,-24.80106
1535.8999999999999,-0.06815,-35.04662
1535.9049999999997,-0.079,-34.44291
1535.9099999999996,-0.08919,-33.67612
1535.915,-0.08035,-34.25289
1535.9199999999998,-0.22022,-24.8334
1535.9249999999997,-0.22136,-24.80953
1535.9299999999998,-0.086,-33.83555
1535.9349999999997,-0.22103,-24.83482
1535.9399999999998,-0.22104,-24.87623
1535.945,-0.22023,-24.96372
1535.9499999999998,-0.22044,-25.0248
1535.955,-0.22079,-24.96869
1535.9599999999998,-0.08149,-34.10476
1535.9649999999997,-0.22107,-24.78466
1535.9699999999998,-0.0941,-33.3603
1535.975,-0.08041,-34.28636
1535.9799999999998,-0.10944,-32.38462
1535.985,-0.22062,-24.94155
1535.9899999999998,-0.0743,-34.76818
1535.9949999999997,-0.22069,-25.03627
1536.0,-0.22075,-25.05893
1536.0049999999999,-0.21951,-25.03941
1536.0099999999998,-0.08051,-34.33719
1536.0149999999999,-0.07201,-34.87491
1536.0199999999998,-0.07687,-34.54306
1536.0249999999996,-0.21949,-25.02368
1536.03,-0.08547,-33.89375
1536.0349999999999,-0.07938,-34.4739
1536.0399999999997,-0.07855,-34.46398
1536.0449999999998,-0.11421,-32.07594
1536.0499999999997,-0.07136,-34.89761
1536.0549999999996,-0.21834,-25.11305
1536.06,-0.08563,-33.97255
1536.0649999999998,-0.2194,-25.07202
1536.07,-0.22047,-25.07047
1536.0749999999998,-0.09524,-33.3531
1536.0799999999997,-0.21884,-25.15216
1536.0849999999998,-0.07082,-34.99493
1536.09,-0.22005,-24.9914
1536.0949999999998,-0.22004,-25.06092
1536.1,-0.21996,-25.02997
1536.1049999999998,-0.08041,-34.37942
1536.1099999999997,-0.08584,-34.00547
1536.1149999999998,-0.21865,-25.15324
1536.12,-0.22058,-25.06941
1536.1249999999998,-0.21854,-25.13486
1536.1299999999999,-0.21816,-25.12869
1536.1349999999998,-0.2188,-25.16563
1536.1399999999996,-0.22048,-25.04201
1536.145,-0.08572,-34.00411
1536.1499999999999,-0.08906,-33.73568
1536.1549999999997,-0.09215,-33.51849
1536.1599999999999,-0.08424,-34.03939
1536.1649999999997,-0.21941,-24.99763
1536.1699999999996,-0.22114,-24.97754
1536.175,-0.10819,-32.50994
1536.1799999999998,-0.07338,-34.87674
1536.185,-0.08253,-34.31063
1536.1899999999998,-0.22004,-25.11269
1536.1949999999997,-0.0792,-34.45993
1536.1999999999998,-0.0809,-34.44957
1536.205,-0.22016,-25.17071
1536.2099999999998,-0.22051,-25.16331
1536.215,-0.10534,-32.88688
1536.2199999999998,-0.08339,-34.34817
1536.2249999999997,-0.08261,-34.37028
1536.2299999999998,-0.08823,-34.00972
1536.235,-0.07942,-34.5505
1536.2399999999998,-0.08885,-33.83239
1536.245,-0.07137,-34.91493
1536.2499999999998,-0.21886,-25.13395
1536.2549999999997,-0.21974,-25.1169
1536.2599999999998,-0.21974,-25.12018
1536.2649999999999,-0.08896,-33.83794
1536.2699999999998,-0.21937,-25.15972
1536.2749999999999,-0.21911,-25.05465
1536.2799999999997,-0.07472,-34.75184
1536.2849999999999,-0.07694,-34.59955
1536.29,-0.21854,-25.2351
1536.2949999999998,-0.10402,-32.88033
1536.3,-0.08846,-33.95699
1536.3049999999998,-0.21894,-25.20076
1536.3099999999997,-0.22008,-25.13335
1536.3149999999998,-0.22205,-25.07984
1536.32,-0.21891,-25.11766
1536.3249999999998,-0.21921,-25.09318
1536.33,-0.21977,-25.18479
1536.3349999999998,-0.07993,-34.51945
1536.3399999999997,-0.07257,-34.9253
1536.3449999999998,-0.08592,-33.9747
1536.35,-0.21863,-25.20642
1536.3549999999998,-0.21914,-25.12916
1536.36,-0.07825,-34.52551
1536.3649999999998,-0.08075,-34.43161
1536.3699999999997,-0.22078,-25.0194
1536.3749999999998,-0.06725,-35.17897
1536.3799999999999,-0.22087,-24.93747
1536.3849999999998,-0.08123,-34.25261
1536.3899999999999,-0.08599,-33.98998
1536.3949999999998,-0.22055,-25.01953
1536.3999999999999,-0.08254,-34.24044
1536.4049999999997,-0.06882,-35.09435
1536.4099999999999,-0.10466,-32.70229
1536.415,-0.21995,-25.03127
1536.4199999999998,-0.22001,-25.01218
1536.4249999999997,-0.09106,-33.63928
1536.4299999999998,-0.13939,-30.64564
1536.4349999999997,-0.07269,-35.04553
1536.4399999999998,-0.21926,-25.13636
1536.445,-0.21904,-25.20917
1536.4499999999998,-0.07913,-34.5073
1536.4549999999997,-0.21855,-25.21054
1536.4599999999998,-0.21769,-25.25262
1536.465,-0.08905,-33.87832
1536.4699999999998,-0.09542,-33.47738
1536.475,-0.07729,-34.55494
1536.4799999999998,-0.07496,-34.62252
1536.4849999999997,-0.21958,-25.01201
1536.4899999999998,-0.2207,-25.02997
1536.495,-0.22042,-25.16863
1536.4999999999998,-0.07014,-35.22142
1536.5049999999999,-0.0793,-34.58296
1536.5099999999998,-0.11493,-32.347
1536.5149999999999,-0.08326,-34.48849
1536.5199999999998,-0.07303,-35.13115
1536.5249999999999,-0.06725,-35.44206
1536.53,-0.08379,-34.35235
1536.5349999999999,-0.10791,-32.65666
1536.5399999999997,-0.09041,-33.82493
1536.5449999999998,-0.08521,-34.28628
1536.5499999999997,-0.07925,-34.7008
1536.5549999999998,-0.07985,-34.62498
1536.56,-0.0795,-34.63459
1536.5649999999998,-0.21874,-25.36787
1536.5699999999997,-0.218,-25.37997
1536.5749999999998,-0.21812,-25.40251
1536.5799999999997,-0.21954,-25.264
1536.5849999999998,-0.09541,-33.52587
1536.59,-0.21973,-25.29758
1536.5949999999998,-0.21831,-25.39754
1536.5999999999997,-0.21929,-25.29526
1536.6049999999998,-0.22022,-25.26553
1536.61,-0.21835,-25.36198
1536.6149999999998,-0.21914,-25.25304
1536.62,-0.08891,-33.96564
1536.6249999999998,-0.06852,-35.33248
1536.6299999999999,-0.21844,-25.44058
1536.6349999999998,-0.2183,-25.3328
1536.6399999999999,-0.21813,-25.33745
1536.645,-0.21813,-25.46144
1536.6499999999999,-0.21884,-25.38297
1536.6549999999997,-0.2184,-25.30671
1536.6599999999999,-0.21735,-25.30856
1536.6649999999997,-0.22035,-25.254
1536.6699999999998,-0.0859,-34.24197
1536.675,-0.07492,-34.98218
1536.6799999999998,-0.0769,-34.77596
1536.6849999999997,-0.21935,-25.24783
1536.6899999999998,-0.2193,-25.30064
1536.6949999999997,-0.07694,-34.81525
1536.6999999999998,-0.07367,-34.96207
1536.705,-0.11002,-32.54078
1536.7099999999998,-0.07801,-34.63282
1536.7149999999997,-0.0708,-35.07888
1536.7199999999998,-0.10211,-32.98753
1536.7249999999997,-0.21829,-25.28511
1536.7299999999998,-0.21749,-25.33591
1536.735,-0.08849,-33.97939
1536.7399999999998,-0.09323,-33.72734
1536.745,-0.21858,-25.36683
1536.7499999999998,-0.21814,-25.36459
1536.7549999999999,-0.10758,-32.75929
1536.76,-0.08901,-33.95836
1536.7649999999999,-0.21837,-25.26597
1536.7699999999998,-0.21744,-25.30917
1536.7749999999999,-0.21726,-25.39884
1536.7799999999997,-0.07925,-34.6548
1536.7849999999999,-0.21922,-25.25491
1536.79,-0.22,-25.21405
1536.7949999999998,-0.2176,-25.41796
1536.7999999999997,-0.07809,-34.73236
1536.8049999999998,-0.08962,-33.9719
1536.8099999999997,-0.2182,-25.54653
1536.8149999999998,-0.21816,-25.57134
1536.82,-0.21969,-25.3491
1536.8249999999998,-0.07654,-34.82354
1536.8299999999997,-0.0775,-34.87874
1536.8349999999998,-0.10272,-33.09792
1536.8399999999997,-0.08154,-34.49655
1536.845,-0.21796,-25.45415
1536.85,-0.21711,-25.50005
1536.8549999999998,-0.07054,-35.3231
1536.86,-0.21855,-25.57323
1536.8649999999998,-0.21722,-25.61621
1536.8699999999997,-0.08084,-34.72366
1536.875,-0.10072,-33.40439
1536.8799999999999,-0.08092,-34.65492
1536.8849999999998,-0.11043,-32.63151
1536.8899999999999,-0.07892,-34.72282
1536.8949999999998,-0.21941,-25.4525
1536.8999999999999,-0.21875,-25.50488
1536.905,-0.07799,-34.77525
1536.9099999999999,-0.21872,-25.50065
1536.9149999999997,-0.10777,-32.91437
1536.9199999999998,-0.0749,-35.0864
1536.9249999999997,-0.06943,-35.42538
1536.9299999999998,-0.22028,-25.28352
1536.935,-0.21739,-25.49041
1536.9399999999998,-0.21892,-25.46771
1536.9449999999997,-0.07994,-34.7157
1536.9499999999998,-0.21865,-25.51049
1536.9549999999997,-0.21844,-25.61429
1536.96,-0.21701,-25.5687
1536.965,-0.2185,-25.46673
1536.9699999999998,-0.21951,-25.50322
1536.975,-0.21807,-25.54504
1536.9799999999998,-0.21839,-25.56409
1536.9849999999997,-0.21829,-25.61038
1536.99,-0.21901,-25.62722
1536.995,-0.21832,-25.52543
1536.9999999999998,-0.0797,-34.80244
1537.0049999999999,-0.21949,-25.60317
1537.0099999999998,-0.08192,-34.80475
1537.0149999999996,-0.0804,-34.86339
1537.02,-0.21936,-25.52561
1537.0249999999999,-0.21931,-25.49665
1537.0299999999997,-0.21946,-25.52761
1537.0349999999999,-0.09414,-33.92181
1537.0399999999997,-0.2186,-25.55256
1537.0449999999996,-0.21998,-25.39397
1537.05,-0.21932,-25.58492
1537.0549999999998,-0.0814,-34.78001
1537.0599999999997,-0.219,-25.63903
1537.0649999999998,-0.21957,-25.52677
1537.0699999999997,-0.2203,-25.48932
1537.0749999999998,-0.22,-25.48724
1537.08,-0.21939,-25.47981
1537.0849999999998,-0.21863,-25.50266
1537.09,-0.09626,-33.67273
1537.0949999999998,-0.21739,-25.66171
1537.0999999999997,-0.07081,-35.54175
1537.1049999999998,-0.07941,-34.89616
1537.11,-0.07097,-35.4321
1537.1149999999998,-0.21797,-25.74266
1537.12,-0.21927,-25.5739
1537.1249999999998,-0.21965,-25.53265
1537.1299999999997,-0.07978,-34.68335
1537.135,-0.11263,-32.59608
1537.1399999999999,-0.08159,-34.78659
1537.1449999999998,-0.21791,-25.42923
1537.1499999999999,-0.06996,-35.33296
1537.1549999999997,-0.10039,-33.49048
1537.1599999999996,-0.08534,-34.48526
1537.165,-0.21794,-25.68359
1537.1699999999998,-0.21825,-25.63244
1537.1749999999997,-0.21807,-25.6646
1537.1799999999998,-0.07957,-34.78848
1537.1849999999997,-0.21792,-25.583
1537.1899999999998,-0.21876,-25.58588
1537.195,-0.07891,-34.97301
1537.1999999999998,-0.07808,-35.11161
1537.205,-0.11653,-32.5264
1537.2099999999998,-0.21858,-25.77469
1537.2149999999997,-0.21824,-25.77025
1537.2199999999998,-0.21802,-25.73683
1537.225,-0.07523,-35.21538
1537.2299999999998,-0.07912,-34.93266
1537.235,-0.08668,-34.42146
1537.2399999999998,-0.07845,-34.97114
1537.2449999999997,-0.08692,-34.44021
1537.2499999999998,-0.07799,-35.12867
1537.2549999999999,-0.07473,-35.25188
1537.2599999999998,-0.22011,-25.47648
1537.2649999999999,-0.09473,-33.87978
1537.2699999999998,-0.07053,-35.52249
1537.2749999999996,-0.08301,-34.57825
1537.28,-0.07863,-34.90201
1537.2849999999999,-0.06862,-35.46199
1537.2899999999997,-0.09504,-33.80052
1537.2949999999998,-0.08956,-34.19153
1537.2999999999997,-0.21787,-25.71461
1537.3049999999998,-0.0807,-34.79062
1537.31,-0.07675,-35.06333
1537.3149999999998,-0.21852,-25.59486
1537.32,-0.21959,-25.49515
1537.3249999999998,-0.21754,-25.60498
1537.3299999999997,-0.22095,-25.64835
1537.3349999999998,-0.06627,-35.79986
1537.34,-0.21853,-25.69306
1537.3449999999998,-0.09402,-34.07745
1537.35,-0.08774,-34.48742
1537.3549999999998,-0.21967,-25.6105
1537.3599999999997,-0.2187,-25.58379
1537.3649999999998,-0.0748,-35.25342
1537.37,-0.0768,-35.16892
1537.3749999999998,-0.21822,-25.59761
1537.3799999999999,-0.08348,-34.66033
1537.3849999999998,-0.06252,-36.04602
1537.3899999999996,-0.078,-35.04371
1537.3949999999998,-0.08056,-34.84972
1537.3999999999999,-0.09917,-33.59147
1537.405,-0.21787,-25.65259
1537.4099999999999,-0.21961,-25.62995
1537.4149999999997,-0.08738,-34.3913
1537.4199999999998,-0.21752,-25.65984
1537.425,-0.21667,-25.701
1537.4299999999998,-0.21668,-25.79355
1537.435,-0.09762,-33.75164
1537.4399999999998,-0.0797,-34.97942
1537.4449999999997,-0.09746,-33.76966
1537.4499999999998,-0.06736,-35.77085
1537.455,-0.0701,-35.76076
1537.4599999999998,-0.07718,-35.28271
1537.465,-0.11081,-33.0151
1537.4699999999998,-0.06959,-35.67952
1537.4749999999997,-0.21694,-25.87523
1537.4799999999998,-0.21658,-25.83042
1537.485,-0.21664,-25.78054
1537.4899999999998,-0.22025,-25.60491
1537.495,-0.10786,-32.99744
1537.4999999999998,-0.067,-35.75757
1537.5049999999997,-0.2163,-25.75908
1537.5099999999998,-0.07287,-35.41367
1537.5149999999999,-0.0772,-35.21375
1537.52,-0.21862,-25.78803
1537.5249999999999,-0.2192,-25.69112
1537.5299999999997,-0.21937,-25.73503
1537.5349999999999,-0.09073,-34.21373
1537.5399999999997,-0.09169,-34.11221
1537.5449999999998,-0.08244,-34.8233
1537.55,-0.07773,-35.23275
1537.5549999999998,-0.0891,-34.30425
1537.5599999999997,-0.21779,-25.69862
1537.5649999999998,-0.08769,-34.40867
1537.5699999999997,-0.07878,-35.02845
1537.5749999999998,-0.07974,-35.0016
1537.58,-0.07884,-35.03667
1537.5849999999998,-0.07685,-35.11201
1537.5899999999997,-0.07786,-35.16927
1537.5949999999998,-0.21755,-25.94673
1537.6,-0.21835,-25.90626
1537.6049999999998,-0.21713,-25.83376
1537.61,-0.08011,-34.90523
1537.6149999999998,-0.07036,-35.69787
1537.6199999999997,-0.08957,-34.47324
1537.6249999999998,-0.21787,-25.81082
1537.6299999999999,-0.08697,-34.50982
1537.635,-0.07759,-35.11885
1537.6399999999999,-0.21744,-25.75369
1537.6449999999998,-0.217,-25.86336
1537.6499999999999,-0.08708,-34.55904
1537.6549999999997,-0.21628,-25.9832
1537.6599999999999,-0.08337,-34.87861
1537.665,-0.07759,-35.20986
1537.6699999999998,-0.2174,-25.78786
1537.6749999999997,-0.21838,-25.7404
1537.6799999999998,-0.07879,-35.14298
1537.6849999999997,-0.0708,-35.58316
1537.6899999999998,-0.08359,-34.85878
1537.695,-0.21916,-25.75378
1537.6999999999998,-0.22066,-25.67154
1537.7049999999997,-0.21849,-25.82437
1537.7099999999998,-0.09239,-34.35496
1537.7149999999997,-0.07233,-35.58427
1537.7199999999998,-0.07342,-35.40911
1537.725,-0.0867,-34.5222
1537.7299999999998,-0.21891,-25.67227
1537.7349999999997,-0.21851,-25.73886
1537.7399999999998,-0.21779,-25.75306
1537.745,-0.21882,-25.68046
1537.75,-0.07409,-35.39736
1537.7549999999999,-0.08458,-34.77756
1537.7599999999998,-0.21771,-25.91284
1537.7649999999999,-0.21765,-26.01105
1537.7699999999998,-0.21862,-25.87916
1537.7749999999999,-0.07337,-35.47598
1537.78,-0.07864,-35.05435
1537.7849999999999,-0.08077,-34.87721
1537.7899999999997,-0.21967,-25.75941
1537.7949999999998,-0.12588,-32.0345
1537.7999999999997,-0.07956,-35.24696
1537.8049999999998,-0.21686,-26.04525
1537.81,-0.21694,-26.01458
1537.8149999999998,-0.21855,-25.91164
1537.8199999999997,-0.21881,-25.88132
1537.8249999999998,-0.21932,-25.79718
1537.8299999999997,-0.21605,-25.89414
1537.8349999999998,-0.07382,-35.47376
1537.84,-0.21723,-25.94259
1537.8449999999998,-0.21769,-25.97364
1537.85,-0.21729,-25.91934
1537.8549999999998,-0.21699,-25.96009
1537.8599999999997,-0.21727,-25.9723
1537.865,-0.21746,-26.03299
1537.87,-0.06889,-35.94343
1537.8749999999998,-0.07949,-35.20192
1537.8799999999999,-0.21681,-26.08695
1537.8849999999998,-0.2169,-26.06286
1537.8899999999999,-0.21754,-26.01535
1537.895,-0.08534,-34.89684
1537.8999999999999,-0.07744,-35.30411
1537.9049999999997,-0.07227,-35.68968
1537.9099999999999,-0.11102,-33.08251
1537.9149999999997,-0.21743,-25.93113
1537.9199999999998,-0.08278,-34.94425
1537.925,-0.08676,-34.63181
1537.9299999999998,-0.07243,-35.63664
1537.9349999999997,-0.21963,-25.8109
1537.9399999999998,-0.21737,-25.86581
1537.9449999999997,-0.06269,-36.05448
1537.9499999999998,-0.07659,-35.19684
1537.955,-0.21815,-25.80079
1537.9599999999998,-0.07981,-35.04856
1537.965,-0.21765,-25.80518
1537.9699999999998,-0.07703,-35.27843
1537.9749999999997,-0.2171,-26.07167
1537.98,-0.07708,-35.42051
1537.985,-0.07795,-35.29582
1537.9899999999998,-0.21754,-25.99793
1537.995,-0.21698,-26.05557
1537.9999999999998,-0.21507,-26.28822
1538.0049999999997,-0.08159,-35.19872
1538.01,-0.07668,-35.44517
1538.0149999999999,-0.21691,-26.14479
1538.0199999999998,-0.22044,-25.8575
1538.0249999999999,-0.21869,-25.93771
1538.0299999999997,-0.21654,-26.03402
1538.0349999999996,-0.2164,-26.02529
1538.04,-0.06783,-35.99504
1538.0449999999998,-0.06909,-35.81296
1538.0499999999997,-0.07793,-35.24736
1538.0549999999998,-0.07842,-35.29821
1538.0599999999997,-0.21674,-26.04539
1538.0649999999998,-0.2189,-25.89263
1538.07,-0.07704,-35.22223
1538.0749999999998,-0.11157,-32.95789
1538.08,-0.21845,-25.89419
1538.0849999999998,-0.21849,-25.85633
1538.0899999999997,-0.08926,-34.38588
1538.095,-0.07721,-35.243
1538.1,-0.08117,-34.98512
1538.1049999999998,-0.07568,-35.44753
1538.11,-0.21769,-25.99272
1538.1149999999998,-0.06911,-35.8135
1538.1199999999997,-0.10689,-33.33704
1538.125,-0.08163,-35.06156
1538.1299999999999,-0.09772,-33.96969
1538.1349999999998,-0.21706,-25.99721
1538.1399999999999,-0.21757,-26.0542
1538.1449999999998,-0.21712,-26.04884
1538.1499999999996,-0.21628,-26.10068
1538.155,-0.07683,-35.40375
1538.1599999999999,-0.08442,-34.8673
1538.1649999999997,-0.21996,-25.89929
1538.1699999999998,-0.21881,-25.87561
1538.1749999999997,-0.21791,-25.90268
1538.1799999999996,-0.21903,-25.98145
1538.185,-0.21934,-25.93988
1538.1899999999998,-0.21718,-26.03023
1538.195,-0.21662,-26.02947
1538.1999999999998,-0.21643,-26.07149
1538.2049999999997,-0.08782,-34.68591
1538.2099999999998,-0.21842,-25.89928
1538.215,-0.09452,-34.07417
1538.2199999999998,-0.07841,-35.23284
1538.225,-0.07441,-35.56332
1538.2299999999998,-0.07027,-35.83708
1538.2349999999997,-0.07465,-35.5408
1538.2399999999998,-0.21623,-26.21914
1538.245,-0.21721,-26.19942
1538.2499999999998,-0.21835,-26.11998
1538.2549999999999,-0.0795,-35.42215
1538.2599999999998,-0.21723,-26.19567
1538.2649999999996,-0.21615,-26.12001
1538.27,-0.21604,-26.08884
1538.2749999999999,-0.06447,-36.25684
1538.2799999999997,-0.06511,-36.27227
1538.2849999999999,-0.07668,-35.43163
1538.2899999999997,-0.2176,-26.01653
1538.2949999999996,-0.06742,-35.97135
1538.3,-0.21564,-26.22667
1538.3049999999998,-0.2144,-26.31687
1538.31,-0.21689,-26.13667
1538.3149999999998,-0.07847,-35.47598
1538.3199999999997,-0.11968,-32.84105
1538.3249999999998,-0.07991,-35.478
1538.33,-0.21589,-26.24171
1538.3349999999998,-0.09287,-34.42324
1538.34,-0.07678,-35.5415
1538.3449999999998,-0.07725,-35.50558
1538.3499999999997,-0.07322,-35.75852
1538.3549999999998,-0.073,-35.78428
1538.36,-0.08854,-34.75867
1538.3649999999998,-0.07688,-35.56594
1538.37,-0.10553,-33.62425
1538.3749999999998,-0.21745,-26.25255
1538.3799999999997,-0.21759,-26.23245
1538.3849999999998,-0.0769,-35.47473
1538.3899999999999,-0.07183,-35.77051
1538.3949999999998,-0.07735,-35.48748
1538.3999999999999,-0.09708,-34.23283
1538.4049999999997,-0.21727,-26.08842
1538.4099999999999,-0.2159,-26.04545
1538.415,-0.07895,-35.3169
1538.4199999999998,-0.12518,-32.28021
1538.425,-0.21968,-26.10055
1538.4299999999998,-0.07882,-35.58784
1538.4349999999997,-0.09896,-34.16008
1538.4399999999998,-0.21718,-26.15149
1538.445,-0.21708,-26.18733
1538.4499999999998,-0.21751,-26.20433
1538.455,-0.21814,-26.17717
1538.4599999999998,-0.21787,-26.18112
1538.4649999999997,-0.21485,-26.21627
1538.4699999999998,-0.0793,-35.34034
1538.475,-0.09232,-34.49684
